Time,Q_1_M,Q_1_L,Q_1_U,Q_2_M,Q_2_L,Q_2_U,PZ_M,PZ_L,PZ_U,P_C1_M,P_C1_L,P_C1_U,P_C2_M,P_C2_L,P_C2_U,QE_M,QE_L,QE_U,QL_M,QL_L,QL_U
0,0.7369875583017705,0.7276894717242373,0.7464806479776496,0.06003140337237636,0.042645378814777,0.07724145507882262,0.11320586319897348,0.07382515011338218,0.16357474319113094,0.7193310479728101,0.6542136892394922,0.7780144563050224,0.16566115919052998,0.11998545701788892,0.22033499661547173,0.5401081570461853,0.4938935539213913,0.5821302691800064,0.45989184295381463,0.4178697308199935,0.5061064460786087
14,0.7369875583017705,0.7276894717242373,0.7464806479776496,0.06003140337237636,0.042645378814777,0.07724145507882262,0.11320586319897348,0.07382515011338218,0.16357474319113094,0.7193310479728101,0.6542136892394922,0.7780144563050224,0.16566115919052998,0.11998545701788892,0.22033499661547173,0.5401081570461853,0.4938935539213913,0.5821302691800064,0.45989184295381463,0.4178697308199935,0.5061064460786087
30,0.7369875583017705,0.7276894717242373,0.7464806479776496,0.06003140337237636,0.042645378814777,0.07724145507882262,0.11429406156612974,0.0735101592690662,0.16703665335805437,0.744599198036121,0.6798560309833964,0.8033174105941612,0.1393242129849652,0.09592780187273289,0.19276665870842757,0.5572619318651254,0.5108434655306474,0.5992087233632936,0.4427380681348746,0.40079127663670644,0.4891565344693526
60,0.7369875583017705,0.7276894717242373,0.7464806479776496,0.06003140337237636,0.042645378814777,0.07724145507882262,0.13550586694645425,0.08855383459528604,0.19426278422108484,0.7240598585307083,0.6542434575538972,0.7870624993213807,0.13830715975896177,0.09342930927830746,0.1938779230660743,0.542143383207899,0.49215095496080163,0.5875796351126246,0.457856616792101,0.41242036488737543,0.5078490450391984
90,0.7369875583017705,0.7276894717242373,0.7464806479776496,0.06003140337237636,0.042645378814777,0.07724145507882262,0.13550586694645425,0.08855383459528604,0.19426278422108484,0.7240598585307083,0.6542434575538972,0.7870624993213807,0.13830715975896177,0.09342930927830746,0.1938779230660743,0.542143383207899,0.49215095496080163,0.5875796351126246,0.457856616792101,0.41242036488737543,0.5078490450391984
