Age,disuti_M,disuti_L,disuti_U,QL00_M,QL00_L,QL00_U,QL15_M,QL15_L,QL15_U,QL35_M,QL35_L,QL35_U
50,0.3329534107916948,0.31648200248017594,0.3504202354057369,0.10888099103923547,0.0972296734194257,0.12159023661774808,0.10879290661149733,0.0971619931368604,0.12148800747269002,0.10868412655296401,0.09707865008182118,0.12135390750226815
55,0.3506153497563457,0.33658225612529635,0.36536788271206244,0.11467862476298647,0.10277659092468515,0.12755295600616579,0.11457165579593552,0.10268206766247366,0.1274266106995016,0.11443111794197988,0.10255991745678068,0.12726144505021356
60,0.36936242346346526,0.3577835522352407,0.38182537514466613,0.12069530776190987,0.10823519752969851,0.13404220925322177,0.12056836292753144,0.1081277057590832,0.13389469442349458,0.12040046018895446,0.1079850382751992,0.13370071521866753
65,0.3890645815218717,0.3784612297737541,0.40020216377739487,0.12704136710859362,0.11411205448959577,0.14092260293687003,0.1268888250813791,0.11397539864615028,0.14074374932509767,0.12668575957237657,0.11379685771921627,0.1405100845244697
70,0.40980961263151644,0.3985324399693658,0.42159509401091594,0.13380966970914152,0.1200632282940379,0.14848681798167837,0.1336225181490764,0.11990036267668149,0.1482690494700604,0.13337438851049555,0.11968765572405461,0.14798940186847553
75,0.43169490487972634,0.41788724439378644,0.4463159044099873,0.1409175074226648,0.12620826188102185,0.15680403637410678,0.1406898876146211,0.12601145494997873,0.1565387639214823,0.14039660922706232,0.12575453340090417,0.15618875187017744
80,0.454633352441114,0.43709965493881753,0.4734408953679602,0.14839544474838975,0.13247639980231452,0.16594086560837018,0.14812727873771747,0.1322540891335482,0.16561060057905314,0.1477677568744829,0.1319544210017138,0.16517969992184395
85,0.4786452837312611,0.455969749362187,0.5037083585891026,0.15626291363523626,0.13874878388137238,0.17584948401465683,0.1559413236436709,0.13847952912036,0.17545724427083176,0.15550838821419094,0.1381288022482194,0.17493519829086923
90,0.5040669347652328,0.47556392278030335,0.5362888933910953,0.16462567937982975,0.14540376843159572,0.1861217813788801,0.16425183473244767,0.14507716802658743,0.18563567310927054,0.16375036577633778,0.14465827365658307,0.18502454303198224
