Time,Q_1_M,Q_1_L,Q_1_U,Q_2_M,Q_2_L,Q_2_U,PZ_M,PZ_L,PZ_U,P_C1_M,P_C1_L,P_C1_U,P_C2_M,P_C2_L,P_C2_U,QE_M,QE_L,QE_U,QL_M,QL_L,QL_U,Batch
0,0.7380793691350067,0.7287014650847152,0.7471923220047005,0.0671443683038267,0.04914426431399123,0.08514118810454623,0.09494809420180574,0.059033823059863204,0.1431525425795384,0.7558220207337905,0.695117936452045,0.8086276498342932,0.14798828450548757,0.10635176283594888,0.19888805411002206,0.5674354443558143,0.5234119742262621,0.6057219689741651,0.43256455564418567,0.3942780310258349,0.4765880257737379,0.7054022571537644
14,0.7380793691350067,0.7287014650847152,0.7471923220047005,0.0671443683038267,0.04914426431399123,0.08514118810454623,0.09494809420180574,0.059033823059863204,0.1431525425795384,0.7558220207337905,0.695117936452045,0.8086276498342932,0.14798828450548757,0.10635176283594888,0.19888805411002206,0.5674354443558143,0.5234119742262621,0.6057219689741651,0.43256455564418567,0.3942780310258349,0.4765880257737379,0.7054022571537644
30,0.7380793691350067,0.7287014650847152,0.7471923220047005,0.0671443683038267,0.04914426431399123,0.08514118810454623,0.1264957168946995,0.08226064953221678,0.18443313474328393,0.7725374144647623,0.7103306301087297,0.8307264342238208,0.09897875902697839,0.06276088422705936,0.14622867398308817,0.576805332721259,0.5321747933981514,0.6180937381185806,0.42319466727874105,0.38190626188141935,0.46782520660184856,0.7054022571537644
60,0.7380793691350067,0.7287014650847152,0.7471923220047005,0.0671443683038267,0.04914426431399123,0.08514118810454623,0.13938258612943688,0.09152104006923859,0.19411574148876612,0.7313277612606447,0.6639254588020046,0.7952830389596057,0.12879226898208684,0.08528363164508582,0.181396727409207,0.5484492691496904,0.5002321200970717,0.5937716700195974,0.4515507308503096,0.4062283299804026,0.49976787990292815,0.7054022571537644
90,0.7380793691350067,0.7287014650847152,0.7471923220047005,0.0671443683038267,0.04914426431399123,0.08514118810454623,0.13938258612943688,0.09152104006923859,0.19411574148876612,0.7313277612606447,0.6639254588020046,0.7952830389596057,0.12879226898208684,0.08528363164508582,0.181396727409207,0.5484492691496904,0.5002321200970717,0.5937716700195974,0.4515507308503096,0.4062283299804026,0.49976787990292815,0.7054022571537644
0,0.7386274306509646,0.7295673460376227,0.7483961155419081,0.0582919886749806,0.040059556601870695,0.0768471974425247,0.12347220075753695,0.08162738998847849,0.17480269545221125,0.6765451353680756,0.610415220513782,0.7390802438689862,0.19654573662863611,0.1463243611635805,0.2554035686238279,0.5111626107187192,0.46406789377370405,0.5564216087851256,0.48883738928128084,0.4435783912148744,0.535932106226296,0.9902193255256861
14,0.7386274306509646,0.7295673460376227,0.7483961155419081,0.0582919886749806,0.040059556601870695,0.0768471974425247,0.12347220075753695,0.08162738998847849,0.17480269545221125,0.6765451353680756,0.610415220513782,0.7390802438689862,0.19654573662863611,0.1463243611635805,0.2554035686238279,0.5111626107187192,0.46406789377370405,0.5564216087851256,0.48883738928128084,0.4435783912148744,0.535932106226296,0.9902193255256861
30,0.7386274306509646,0.7295673460376227,0.7483961155419081,0.0582919886749806,0.040059556601870695,0.0768471974425247,0.10876297034806323,0.06704134514086797,0.1614119588809576,0.7737726236570083,0.7099872355950508,0.8294699210894184,0.11633272783960225,0.07861748630792127,0.1645609874816268,0.5786675757771373,0.5317409068267531,0.6187302108252782,0.4213324242228626,0.3812697891747217,0.46825909317324677,0.9902193255256861
60,0.7386274306509646,0.7295673460376227,0.7483961155419081,0.0582919886749806,0.040059556601870695,0.0768471974425247,0.1384577610332471,0.09181796693719205,0.20034903973151022,0.7054983921200244,0.6332692289585572,0.7689745924546143,0.15431423047731418,0.1072829699728416,0.2117502177772862,0.5301502175467392,0.4783408483604766,0.5750418414820686,0.46984978245326087,0.42495815851793134,0.5216591516395235,0.9902193255256861
90,0.7386274306509646,0.7295673460376227,0.7483961155419081,0.0582919886749806,0.040059556601870695,0.0768471974425247,0.1384577610332471,0.09181796693719205,0.20034903973151022,0.7054983921200244,0.6332692289585572,0.7689745924546143,0.15431423047731418,0.1072829699728416,0.2117502177772862,0.5301502175467392,0.4783408483604766,0.5750418414820686,0.46984978245326087,0.42495815851793134,0.5216591516395235,0.9902193255256861
0,0.7371500371813475,0.7275335058155165,0.7460846589889152,0.06573951573818232,0.04906258780028055,0.08300802926357857,0.13181906011962385,0.08837507921991383,0.1911428344806034,0.7028328682380796,0.6311721257049058,0.761169617306182,0.16325860367861111,0.12015222883268992,0.2154634972400728,0.5286806850807619,0.478453510327749,0.5711881264142161,0.471319314919238,0.4288118735857838,0.5215464896722509,0.8707653877791017
14,0.7371500371813475,0.7275335058155165,0.7460846589889152,0.06573951573818232,0.04906258780028055,0.08300802926357857,0.13181906011962385,0.08837507921991383,0.1911428344806034,0.7028328682380796,0.6311721257049058,0.761169617306182,0.16325860367861111,0.12015222883268992,0.2154634972400728,0.5286806850807619,0.478453510327749,0.5711881264142161,0.471319314919238,0.4288118735857838,0.5215464896722509,0.8707653877791017
30,0.7371500371813475,0.7275335058155165,0.7460846589889152,0.06573951573818232,0.04906258780028055,0.08300802926357857,0.15586269280555257,0.10914087993357406,0.21111795038863634,0.6960913009119715,0.6266618663446365,0.758859136348242,0.14622575839484703,0.10116782863594023,0.20072872746306858,0.5231326829680041,0.47370884795833457,0.5685606608621886,0.4768673170319959,0.4314393391378114,0.5262911520416654,0.8707653877791017
