Agp,Cluster,mu,std,N,Prop,Country,value_set
All,0,1,0,493,0.23690533397405095,DEU,orig
All,1,0.8613264554163597,0.06547930486777087,1357,0.652090341182124,DEU,orig
All,2,0.2805411255411255,0.10906515522358662,231,0.11100432484382508,DEU,orig
All,0,1,0,25,0.01985702938840349,ESP,orig
All,1,0.8042729591836735,0.10556947429951392,784,0.6227164416203336,ESP,orig
All,2,0.29422444444444446,0.25778395302850066,450,0.3574265289912629,ESP,orig
All,0,1,0,128,0.10256410256410256,ITA,orig
All,1,0.7391960132890365,0.04474396620556454,903,0.7235576923076923,ITA,orig
All,2,0.4754331797235023,0.17118769860380878,217,0.17387820512820512,ITA,orig
All,0,1,0,120,0.12903225806451613,JPN,orig
All,1,0.8333409090909091,0.07844758396162443,616,0.6623655913978495,JPN,orig
All,2,0.2099639175257732,0.2442154907969501,194,0.2086021505376344,JPN,orig
All,0,1,0,493,0.23588516746411484,DEU,uk
All,1,0.7373399412628487,0.08160285183601274,1362,0.6516746411483254,DEU,uk
All,2,0.1004808510638298,0.1516715787289906,235,0.1124401913875598,DEU,uk
All,0,1,0,25,0.01985702938840349,ESP,uk
All,1,0.7197401247401247,0.09862212557878934,962,0.7640984908657665,ESP,uk
All,2,0.02338235294117647,0.19532267026049607,272,0.21604447974583,ESP,uk
All,0,1,0,128,0.10256410256410256,ITA,uk
All,1,0.7516690500510725,0.078827947901518855,979,0.7844551282051282,ITA,uk
All,2,0.06561702127659576,0.2237112826701438,141,0.11298076923076925,ITA,uk
All,0,1,0,120,0.12903225806451613,JPN,uk
All,1,0.7593376000000001,0.07066871254900103,625,0.6720430107526881,JPN,uk
All,2,0.09753513513513516,0.17867391998477622,185,0.1989247311827957,JPN,uk
