SID,Var,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
DEU,r0,2.7300734291978053,0.07161011720268913,1.170901165602766,1.0210643636991077,1.8767335262363376,2.564151128488783,3.3375968379856036,5.511166995450586,267.3570912505565,1.0116887093900522
DEU,ba1,-0.01144802502244576,4.281604423737045e-4,0.00652251113602823,-0.02355506312870975,-0.01601383009312896,-0.01166607066963689,-0.00727239510619151,0.00243006936976885,232.0687043525271,1.0162609508988247
DEU,lp__,-455.3259589834418,0.04167891204911148,0.964356271248296,-457.8806854933974,-455.7590506679797,-455.0219155766685,-454.609012876952,-454.35288604242777,535.3555016915558,1.01627818319317
ESP,r0,6.728284774849859,0.11019662542648592,1.954553756571228,3.5468163360041873,5.277753443550249,6.540168638233947,7.884072914346487,11.28222637706327,314.59994938627153,1.011446832085709
ESP,ba1,-0.00765894262650876,2.5347542848043063e-4,0.00420308033701495,-0.01584228254352653,-0.01056426496305029,-0.00774841399812903,-0.00481080054228739,6.840306597197903e-4,274.9562844891494,1.0107155956305878
ESP,lp__,-566.527038497539,0.04657904167175671,0.978699908772522,-569.2382235364373,-566.9035892386431,-566.2189608398386,-565.8413402192598,-565.5823523906212,441.4870790434739,1.0070233082383988
FULL,r0,5.386247102857965,0.03647447219354439,0.7243894599312506,3.976149376367028,4.903457973093609,5.352910299504467,5.855443504297823,6.938155868281159,394.42661542788443,1.014363830769041
FULL,ba1,-0.01108255003083216,1.054632602596256e-4,0.00206262501755028,-0.01493244032566565,-0.01249235063111759,-0.01110899996056626,-0.00980926454828958,-0.00665001414105229,382.50593340734304,1.0133206795947314
FULL,lp__,-4999.494741633642,0.04666353216615866,1.011280590376393,-5002.152774550319,-4999.891663913528,-4999.162540582292,-4998.783465255742,-4998.529724237978,469.6649219012348,1.0016338144416923
GSK,r0,4.9178435831337115,0.05418094866808919,1.083022646103141,3.094710831306655,4.141726618462808,4.825980691986878,5.571898117039642,7.259169546522714,399.55987247132185,1.0082528408492293
GSK,ba1,-0.00916618154545079,1.63021043109436e-4,0.00319436311819737,-0.01506386640047424,-0.01134061660615221,-0.00928785555136875,-0.00701017449108404,-0.00275593346963733,383.9557982420886,1.0099802868298655
GSK,lp__,-2418.3975355202706,0.0486300844485368,1.014736144976775,-2421.0412450260974,-2418.783102507532,-2418.080238971321,-2417.69257179114,-2417.386184954997,435.40780820877507,1.005783099478187
ITA,r0,7.31680895051112,0.15034803609615746,2.396028133402448,3.5719474176233854,5.556710331412958,7.023686910267962,8.60503623241212,13.081919629911894,253.97344332234567,1.011976250106622
ITA,ba1,-0.00593756901870729,2.752275890439491e-4,0.004541611068031,-0.014695302069947,-0.00903879068986248,-0.00601327793307361,-0.00281362197893345,0.00306988150023838,272.2926682176734,1.0103019245802205
ITA,lp__,-662.0481632959937,0.04931589697655126,1.0317050463215611,-664.8974598737948,-662.435663089999,-661.7263043679241,-661.3181138254125,-661.0350238961843,437.6603832088134,1.005929302787984
JPN,r0,4.571201622935451,0.08736058231405394,1.625475565837619,2.016085975814726,3.414171081750525,4.308897989378126,5.57025800716849,8.361889535605965,346.20222179426395,1.0131490158178402
JPN,ba1,-0.01091114489407336,3.086082531317965e-4,0.00536905524069719,-0.0208587779139676,-0.0146504212721441,-0.0110161530065251,-0.00745022979695299,-5.61783439157806e-5,302.67787212171606,1.0177250363693833
JPN,lp__,-626.6138566190508,0.04912402699352489,1.0193102474453437,-629.3036926671359,-627.0199003993877,-626.3191778456085,-625.8782028407486,-625.6035579273603,430.551253523613,1.018605642378891
