SID,Var,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
DEU,r0,0.9519982907207531,0.03519537257632239,0.7612705465823243,0.09750605016247446,0.3894100020236546,0.7142162659708485,1.3002327792607398,2.979948965762392,467.8503090813332,1.0179528193614282
DEU,ba1,0.00912166495260759,7.611577881389288e-4,0.01371472568885362,-0.0141194402006629,-8.719692970600304e-4,0.00810469597951975,0.01774959899703342,0.03767157000837996,324.65706664276433,1.0254317690190828
DEU,lp__,-48.19482230838453,0.0361478752220862,0.9165132456224876,-50.64597501207635,-48.56965432558483,-47.92310452506917,-47.5466346958107,-47.28062021099424,642.8533963607775,1.0055659181367722
ESP,r0,3.790150675347867,0.07754740896323441,1.6075199822718635,1.3523824088504144,2.5910044650183197,3.565799044694076,4.694229986837141,7.512900458811948,429.71268785994073,1.0046748892134312
ESP,ba1,0.00271916523486693,3.237006262517892e-4,0.00639294584517057,-0.00858098874783839,-0.00166067502003281,0.00228732715981456,0.00694416841298189,0.01639316337419556,390.045230621719,1.0079270322971523
ESP,lp__,-141.95557999854248,0.03694577487529228,0.9539999616682624,-144.6011142243111,-142.33277987440988,-141.6711787387452,-141.2626275860075,-141.0169608167734,666.7563421079883,1.0029379502783362
GSK,r0,2.549140108703092,0.05931072337066314,1.0363238106589474,0.9818116620253362,1.794179409927182,2.411706544089574,3.0962831331744116,5.022850885876329,305.298388295556,1.0178241432447228
GSK,ba1,0.00959740977980394,3.41322619179598e-4,0.00601362822325815,-0.00168938363077059,0.00550806523361766,0.0093049618089285,0.01360305278929636,0.02202115511995993,310.4152233947733,1.014506699908666
GSK,lp__,-376.00013991453386,0.04292230230415573,0.9612123562259176,-378.54368654785856,-376.4179654383318,-375.6926618153933,-375.3081386964294,-375.0596114194467,501.50200299404975,1.0092147268480145
ITA,r0,2.531606836364724,0.07475117653983772,1.4786869669582337,0.5248602211324562,1.4216822925116477,2.2246056984285834,3.352519014328114,6.080855909807818,391.30592594756473,1.0060368112218316
ITA,ba1,0.03432365720073376,4.5873824934673633e-4,0.00899280035906613,0.01883134874024939,0.02797920418179689,0.03367022584940753,0.04001052548751278,0.05378016351834958,384.29080976959295,1.005647892659042
ITA,lp__,-67.72286651482274,0.04755080247649386,1.0385476715915714,-70.60745132787808,-68.09048675610977,-67.3991910895918,-67.00759303554089,-66.72837211293894,477.0206409702837,1.0043991018063845
JPN,r0,1.4199967932918904,0.03835323168536576,0.9356457070949052,0.27556769406178167,0.7351746820717758,1.218391275340687,1.8506322189785869,3.771502258378885,595.1397123181881,1.003310890097246
JPN,ba1,0.01776031103391516,4.359328492456488e-4,0.01054196031442641,-0.00129281219700611,0.01054846954063829,0.0169858064682481,0.02461410544638253,0.03933686837246918,584.7948803020702,1.0033680232497058
JPN,lp__,-63.58552575627257,0.03372871202072466,0.9085421132326256,-66.00504098382207,-64.01284735277787,-63.30161248521865,-62.908623033768365,-62.67572498841611,725.5888674663846,1.0031034497372413
