study,Age,QL00,QL15,QL35
Drolet et al. 2010,50,0.032 (0.029 - 0.036),0.032 (0.029 - 0.036),0.032 (0.028 - 0.035)
Drolet et al. 2010,60,0.035 (0.031 - 0.038),0.035 (0.031 - 0.038),0.034 (0.031 - 0.038)
Drolet et al. 2010,70,0.038 (0.034 - 0.042),0.038 (0.034 - 0.041),0.038 (0.034 - 0.041)
Drolet et al. 2010,80,0.038 (0.034 - 0.043),0.038 (0.034 - 0.043),0.038 (0.033 - 0.042)
Drolet et al. 2010,90,0.038 (0.033 - 0.044),0.038 (0.032 - 0.044),0.038 (0.032 - 0.043)
Rampakakis et al. 2017 Argentina,50,0.041 (0.036 - 0.045),0.040 (0.036 - 0.045),0.040 (0.036 - 0.045)
Rampakakis et al. 2017 Argentina,60,0.037 (0.034 - 0.041),0.037 (0.034 - 0.041),0.037 (0.034 - 0.041)
Rampakakis et al. 2017 Argentina,70,0.029 (0.026 - 0.032),0.029 (0.026 - 0.032),0.029 (0.026 - 0.032)
Rampakakis et al. 2017 Argentina,80,0.021 (0.018 - 0.024),0.021 (0.018 - 0.024),0.021 (0.018 - 0.024)
Rampakakis et al. 2017 Argentina,90,0.019 (0.016 - 0.022),0.019 (0.016 - 0.022),0.019 (0.016 - 0.022)
Rampakakis et al. 2017 Costa Rica,50,0.027 (0.024 - 0.030),0.027 (0.024 - 0.030),0.027 (0.024 - 0.030)
Rampakakis et al. 2017 Costa Rica,60,0.023 (0.021 - 0.026),0.023 (0.021 - 0.026),0.023 (0.020 - 0.026)
Rampakakis et al. 2017 Costa Rica,70,0.024 (0.021 - 0.026),0.024 (0.021 - 0.026),0.023 (0.021 - 0.026)
Rampakakis et al. 2017 Costa Rica,80,0.025 (0.022 - 0.028),0.025 (0.022 - 0.028),0.024 (0.022 - 0.028)
Rampakakis et al. 2017 Costa Rica,90,0.026 (0.022 - 0.030),0.026 (0.022 - 0.030),0.026 (0.022 - 0.030)
Rampakakis et al. 2017 Korea,50,0.051 (0.046 - 0.057),0.051 (0.046 - 0.057),0.051 (0.046 - 0.057)
Rampakakis et al. 2017 Korea,60,0.040 (0.036 - 0.044),0.040 (0.036 - 0.043),0.039 (0.036 - 0.043)
Rampakakis et al. 2017 Korea,70,0.031 (0.028 - 0.035),0.031 (0.028 - 0.034),0.031 (0.028 - 0.034)
Rampakakis et al. 2017 Korea,80,0.030 (0.026 - 0.033),0.030 (0.026 - 0.033),0.029 (0.026 - 0.033)
Rampakakis et al. 2017 Korea,90,0.032 (0.027 - 0.037),0.031 (0.027 - 0.036),0.031 (0.027 - 0.036)
Rampakakis et al. 2017 Mexico,50,0.027 (0.024 - 0.030),0.027 (0.024 - 0.030),0.027 (0.024 - 0.030)
Rampakakis et al. 2017 Mexico,60,0.023 (0.021 - 0.026),0.023 (0.021 - 0.026),0.023 (0.020 - 0.026)
Rampakakis et al. 2017 Mexico,70,0.024 (0.021 - 0.026),0.024 (0.021 - 0.026),0.023 (0.021 - 0.026)
Rampakakis et al. 2017 Mexico,80,0.025 (0.022 - 0.028),0.025 (0.022 - 0.028),0.024 (0.022 - 0.028)
Rampakakis et al. 2017 Mexico,90,0.026 (0.022 - 0.030),0.026 (0.022 - 0.030),0.026 (0.022 - 0.030)
Rampakakis et al. 2017 Taiwan,50,0.051 (0.046 - 0.057),0.051 (0.046 - 0.057),0.051 (0.046 - 0.057)
Rampakakis et al. 2017 Taiwan,60,0.040 (0.036 - 0.044),0.040 (0.036 - 0.043),0.039 (0.036 - 0.043)
Rampakakis et al. 2017 Taiwan,70,0.031 (0.028 - 0.035),0.031 (0.028 - 0.034),0.031 (0.028 - 0.034)
Rampakakis et al. 2017 Taiwan,80,0.030 (0.026 - 0.033),0.030 (0.026 - 0.033),0.029 (0.026 - 0.033)
Rampakakis et al. 2017 Taiwan,90,0.032 (0.027 - 0.037),0.031 (0.027 - 0.036),0.031 (0.027 - 0.036)
Rampakakis et al. 2017 Thailand,50,0.016 (0.014 - 0.018),0.016 (0.014 - 0.018),0.016 (0.014 - 0.018)
Rampakakis et al. 2017 Thailand,60,0.016 (0.014 - 0.018),0.016 (0.014 - 0.018),0.016 (0.014 - 0.018)
Rampakakis et al. 2017 Thailand,70,0.016 (0.014 - 0.018),0.016 (0.014 - 0.018),0.016 (0.014 - 0.018)
Rampakakis et al. 2017 Thailand,80,0.016 (0.014 - 0.018),0.016 (0.014 - 0.018),0.016 (0.014 - 0.018)
Rampakakis et al. 2017 Thailand,90,0.017 (0.014 - 0.020),0.017 (0.014 - 0.019),0.017 (0.014 - 0.019)
Scott et al. 2006,50,0.035 (0.031 - 0.039),0.035 (0.031 - 0.039),0.035 (0.031 - 0.039)
Scott et al. 2006,60,0.032 (0.029 - 0.035),0.032 (0.029 - 0.035),0.032 (0.029 - 0.035)
Scott et al. 2006,70,0.027 (0.024 - 0.030),0.027 (0.024 - 0.030),0.027 (0.024 - 0.030)
Scott et al. 2006,80,0.019 (0.017 - 0.022),0.019 (0.017 - 0.022),0.019 (0.016 - 0.022)
Scott et al. 2006,90,0.018 (0.015 - 0.021),0.018 (0.015 - 0.021),0.018 (0.015 - 0.021)
van Wijck et al. 2016,50,0.048 (0.043 - 0.053),0.048 (0.043 - 0.053),0.048 (0.043 - 0.053)
van Wijck et al. 2016,60,0.047 (0.043 - 0.051),0.047 (0.042 - 0.051),0.046 (0.042 - 0.051)
van Wijck et al. 2016,70,0.044 (0.040 - 0.048),0.044 (0.040 - 0.048),0.044 (0.039 - 0.048)
van Wijck et al. 2016,80,0.039 (0.035 - 0.044),0.039 (0.035 - 0.044),0.039 (0.035 - 0.044)
van Wijck et al. 2016,90,0.036 (0.031 - 0.042),0.036 (0.031 - 0.042),0.036 (0.031 - 0.042)
