Time,Set,Q_1_M,Q_1_L,Q_1_U,Q_2_M,Q_2_L,Q_2_U,PZ_M,PZ_L,PZ_U,P_C1_M,P_C1_L,P_C1_U,P_C2_M,P_C2_L,P_C2_U,QE_M,QE_L,QE_U,QL_M,QL_L,QL_U
0,2gp,0.7805301696537892,0.7705501866037975,0.7903493039075171,0.19858338350508087,0.18030230942311848,0.21643067447293077,0.14042779593128576,0.09580213932934191,0.1953390130204467,0.6717256904567226,0.6048638972812291,0.7340655006750588,0.18636921758038882,0.13761584995319048,0.24410005956843384,0.5615279253104948,0.5150346865824919,0.6047015860403683,0.4384720746895053,0.3952984139596317,0.4849653134175082
14,2gp,0.7805301696537892,0.7705501866037975,0.7903493039075171,0.19858338350508087,0.18030230942311848,0.21643067447293077,0.14042779593128576,0.09580213932934191,0.1953390130204467,0.6717256904567226,0.6048638972812291,0.7340655006750588,0.18636921758038882,0.13761584995319048,0.24410005956843384,0.5615279253104948,0.5150346865824919,0.6047015860403683,0.4384720746895053,0.3952984139596317,0.4849653134175082
30,2gp,0.7805301696537892,0.7705501866037975,0.7903493039075171,0.19858338350508087,0.18030230942311848,0.21643067447293077,0.13842929100948184,0.09271976310826785,0.1958615522462146,0.6977105398830856,0.6267139120640309,0.7621125464979361,0.16229096636594947,0.11431907964465884,0.21924225748921397,0.5769656781776553,0.5275835262814598,0.6215995021853535,0.42303432182234474,0.37840049781464646,0.4724164737185402
60,2gp,0.7805301696537892,0.7705501866037975,0.7903493039075171,0.19858338350508087,0.18030230942311848,0.21643067447293077,0.12477509666078408,0.08022287791878667,0.18088560060820819,0.7594900889532216,0.693871905645564,0.8181488625327631,0.11366683627626048,0.07413812191118617,0.16391551852850628,0.6156212427053794,0.5683874770317555,0.6570649911685242,0.38437875729462057,0.34293500883147576,0.43161252296824437
90,2gp,0.7805301696537892,0.7705501866037975,0.7903493039075171,0.19858338350508087,0.18030230942311848,0.21643067447293077,0.12477509666078408,0.08022287791878667,0.18088560060820819,0.7594900889532216,0.693871905645564,0.8181488625327631,0.11366683627626048,0.07413812191118617,0.16391551852850628,0.6156212427053794,0.5683874770317555,0.6570649911685242,0.38437875729462057,0.34293500883147576,0.43161252296824437
0,2gp_km,0.7400908844185967,0.7309443755493884,0.7493664780385706,0.06398822316396903,0.04653855432778272,0.08132384963510769,0.11166946127511601,0.07206566555056157,0.16281145728388735,0.727865840707757,0.6639082719287062,0.7873096330185441,0.15848614543467907,0.11264019558463122,0.21252132275241709,0.5488548326376925,0.5033578708611084,0.5917195370892623,0.45114516736230753,0.4082804629107377,0.49664212913889155
14,2gp_km,0.7400908844185967,0.7309443755493884,0.7493664780385706,0.06398822316396903,0.04653855432778272,0.08132384963510769,0.11166946127511601,0.07206566555056157,0.16281145728388735,0.727865840707757,0.6639082719287062,0.7873096330185441,0.15848614543467907,0.11264019558463122,0.21252132275241709,0.5488548326376925,0.5033578708611084,0.5917195370892623,0.45114516736230753,0.4082804629107377,0.49664212913889155
30,2gp_km,0.7400908844185967,0.7309443755493884,0.7493664780385706,0.06398822316396903,0.04653855432778272,0.08132384963510769,0.1211297785035355,0.07897164876524926,0.17581653058264263,0.7253194520116251,0.6585367851077898,0.7858270269166892,0.1519732933553322,0.10730390539115696,0.20645473695385505,0.5465836118448381,0.49901239571232003,0.5904629954010369,0.45341638815516194,0.40953700459896314,0.50098760428768
60,2gp_km,0.7400908844185967,0.7309443755493884,0.7493664780385706,0.06398822316396903,0.04653855432778272,0.08132384963510769,0.12753849561832928,0.08218077813678283,0.18582672414263712,0.728476480786092,0.6577488399961184,0.7919656312957891,0.14175741227380328,0.09606613564055025,0.19799528051990722,0.5480656078324813,0.4979071407896711,0.593866148463019,0.4519343921675188,0.406133851536981,0.502092859210329
90,2gp_km,0.7400908844185967,0.7309443755493884,0.7493664780385706,0.06398822316396903,0.04653855432778272,0.08132384963510769,0.12753849561832928,0.08218077813678283,0.18582672414263712,0.728476480786092,0.6577488399961184,0.7919656312957891,0.14175741227380328,0.09606613564055025,0.19799528051990722,0.5480656078324813,0.4979071407896711,0.593866148463019,0.4519343921675188,0.406133851536981,0.502092859210329
0,ind,0.7845118673249384,0.7749963700561616,0.7943110380757465,0.1944850346647996,0.17608423925107017,0.21343587350962268,0.13462608969672124,0.09067399537770895,0.18931418456314775,0.6792932656835846,0.611357827087556,0.7416871133812264,0.18430907129350002,0.1353484036257162,0.24226256003768987,0.5688715914804489,0.5211772651757253,0.6124842080536788,0.43112840851955114,0.38751579194632124,0.4788227348242747
14,ind,0.7845118673249384,0.7749963700561616,0.7943110380757465,0.1944850346647996,0.17608423925107017,0.21343587350962268,0.13462608969672124,0.09067399537770895,0.18931418456314775,0.6792932656835846,0.611357827087556,0.7416871133812264,0.18430907129350002,0.1353484036257162,0.24226256003768987,0.5688715914804489,0.5211772651757253,0.6124842080536788,0.43112840851955114,0.38751579194632124,0.4788227348242747
30,ind,0.7845118673249384,0.7749963700561616,0.7943110380757465,0.1944850346647996,0.17608423925107017,0.21343587350962268,0.12542376443840939,0.08269603609316623,0.18042915489310396,0.7309648243492186,0.663602979798138,0.7908437899763984,0.1417274309329378,0.09851195294237755,0.19506546429356175,0.601046563552399,0.5536820457380011,0.6435047428768826,0.39895343644760095,0.35649525712311736,0.4463179542619989
60,ind,0.7845118673249384,0.7749963700561616,0.7943110380757465,0.1944850346647996,0.17608423925107017,0.21343587350962268,0.11306223202085972,0.07189598477058913,0.1673455352321411,0.7465243587885942,0.6787997741542731,0.8064386190139281,0.13835541173850346,0.09407660360039034,0.19342101264985873,0.6128424221804073,0.5647041907183186,0.6545333640195483,0.38715757781959276,0.3454666359804517,0.4352958092816814
90,ind,0.7845118673249384,0.7749963700561616,0.7943110380757465,0.1944850346647996,0.17608423925107017,0.21343587350962268,0.11306223202085972,0.07189598477058913,0.1673455352321411,0.7465243587885942,0.6787997741542731,0.8064386190139281,0.13835541173850346,0.09407660360039034,0.19342101264985873,0.6128424221804073,0.5647041907183186,0.6545333640195483,0.38715757781959276,0.3454666359804517,0.4352958092816814
