Age,disuti_M,disuti_L,disuti_U,QL00_M,QL00_L,QL00_U,QL15_M,QL15_L,QL15_U,QL35_M,QL35_L,QL35_U,Batch,Set
50,0.4134427156188525,0.39229511926439553,0.4348591177964265,0.12807149584961836,0.11505461202992459,0.1428795177915517,0.12788664703914238,0.11491085493281018,0.14266517340775373,0.12764978837597551,0.11472306707196246,0.14238530572168717,s1,ind_km
55,0.4255248698413034,0.40803812629656533,0.44341224796115014,0.1317249516762205,0.11888813458898975,0.146323073341244,0.13151944735958082,0.11872745776140801,0.14609708074733527,0.1312488340427177,0.11851761567671706,0.14580203374088863,s1,ind_km
60,0.43802027153776874,0.42364517182408756,0.4529354049767293,0.13560633337038525,0.12274144326043268,0.15000314434861534,0.1353812157359615,0.12254621260001833,0.1497526129691164,0.13508942366279098,0.12229173543019654,0.14942559976775013,s1,ind_km
65,0.450839830483978,0.4375674276298787,0.46384199595623193,0.13949596976428444,0.1263281124005029,0.15410124414032045,0.13924912741275136,0.12610754349732073,0.15383175306791205,0.13892760298544948,0.1258197428707756,0.15347985813175438,s1,ind_km
70,0.4640701860978178,0.45063504924214715,0.4770377730060007,0.1433883897977395,0.12996142319721862,0.1584902938057161,0.14310773942911464,0.12970687276951595,0.1581720970034585,0.14274688619500103,0.12937488052091095,0.1577570872147825,s1,ind_km
75,0.4777542956751105,0.4615390485883688,0.4927670112915021,0.14747905898848557,0.1334267881209306,0.16315514931550043,0.14717539175529368,0.13315156215219998,0.16280147886829638,0.1467799342575108,0.13279268811911135,0.16236582516734802,s1,ind_km
80,0.49152022595016936,0.47099701459067267,0.5119716947566325,0.15174882697638858,0.13706883363756722,0.1681887732968216,0.15140970732894138,0.13679312549086609,0.16780361318682874,0.15098221542886053,0.13642630089381222,0.16730161295321216,s1,ind_km
85,0.5058096700941588,0.48001075803436033,0.5323089557376103,0.15603663632195786,0.14031583300418005,0.17362048480404277,0.15567812321778418,0.1399978296324349,0.17319718932538275,0.15521195390742376,0.13955546028774837,0.1726456104624017,s1,ind_km
90,0.520468329351002,0.48957746598796636,0.5529476092474348,0.160532800777683,0.14365932904054113,0.17939840206001792,0.16013004645760406,0.14331599472932938,0.17892104802376563,0.15959640984999462,0.14287258677670617,0.1782993456842286,s1,ind_km
50,0.41599833742463277,0.396576146856184,0.4357389703339995,0.13169504718951633,0.11744361897703756,0.14726362873014903,0.1315082937335131,0.11727603267518663,0.1470459534352996,0.13125045712173927,0.11705721107087422,0.14675768304037085,s10,ind_km
55,0.43016089013303294,0.4132350872728108,0.4470391545033311,0.13613695559075656,0.12145558039070808,0.1518883738788936,0.13593237554926385,0.12126844548844547,0.1516349264388453,0.13566683763238935,0.12102414645228066,0.15130174037907013,s10,ind_km
60,0.4446490709127561,0.43045303264858625,0.4591507926703988,0.14076113497869586,0.12609040329948962,0.15689061955288527,0.14051172306121046,0.12588449633623108,0.15660425280984683,0.140193805230879,0.12561576652534193,0.15623061722432602,s10,ind_km
65,0.4594996917953621,0.4467415128070168,0.47316721593402,0.14547176070351456,0.13016096936255087,0.1619834850312624,0.1451883034628631,0.12992217839199913,0.1616760616120051,0.14483677661067465,0.12961062772482232,0.1612837571727585,s10,ind_km
70,0.47516826686919195,0.46214676415667344,0.48906884076335594,0.15021199059592355,0.13436643320457145,0.16742126980898206,0.1499188426429955,0.13409949022222317,0.16707711019569238,0.1495464160255183,0.13375195138397017,0.16662832176099807,s10,ind_km
75,0.4911737359657483,0.47558310493228784,0.5074615461401796,0.15509004561362477,0.13876957964412792,0.17288246418583098,0.15475369827581859,0.13847315621704825,0.172491871098658,0.15430491225320633,0.1381014534308905,0.1719827110942524,s10,ind_km
80,0.5077352939344542,0.4874789462844206,0.528118603522474,0.16030837756626423,0.14305094472961416,0.17884963220142291,0.1599255085849869,0.14272368180807865,0.17841163032983964,0.1594371050490226,0.14229718098014987,0.17784357541198428,s10,ind_km
85,0.524862508370411,0.49924431517519136,0.5502921171690464,0.16588628163272678,0.14731363992851576,0.18572590951042506,0.16546612269219957,0.14696656354550502,0.18520873024747278,0.16489801022914147,0.14652300975669216,0.18453513350954343,s10,ind_km
