Time,Q_1_M,Q_1_L,Q_1_U,Q_2_M,Q_2_L,Q_2_U,PZ_M,PZ_L,PZ_U,P_C1_M,P_C1_L,P_C1_U,P_C2_M,P_C2_L,P_C2_U,QE_M,QE_L,QE_U,QL_M,QL_L,QL_U,Batch,Set
0,0.7430269927277704,0.7343577210665229,0.7522140813826088,0.07540269185522384,0.05804502729539223,0.09278546396289927,0.1461504861194824,0.09680411229197453,0.2052105278655278,0.7156564999457941,0.6541700857883653,0.773006487192553,0.13596278128095712,0.09416157539555053,0.18593907352350858,0.5423087041593573,0.49659823215418103,0.5837118257974986,0.4576912958406428,0.4162881742025014,0.5034017678458189,s1,2gp_km
14,0.7430269927277704,0.7343577210665229,0.7522140813826088,0.07540269185522384,0.05804502729539223,0.09278546396289927,0.1461504861194824,0.09680411229197453,0.2052105278655278,0.7156564999457941,0.6541700857883653,0.773006487192553,0.13596278128095712,0.09416157539555053,0.18593907352350858,0.5423087041593573,0.49659823215418103,0.5837118257974986,0.4576912958406428,0.4162881742025014,0.5034017678458189,s1,2gp_km
30,0.7430269927277704,0.7343577210665229,0.7522140813826088,0.07540269185522384,0.05804502729539223,0.09278546396289927,0.0985727165257057,0.06398221666988113,0.14575344981167135,0.7342153166082885,0.6701891911492753,0.7938534578901814,0.16547786947089982,0.11677391065970835,0.22293516570070515,0.5581674649011223,0.5122293536751056,0.6013135150538493,0.44183253509887765,0.3986864849461506,0.48777064632489436,s1,2gp_km
60,0.7430269927277704,0.7343577210665229,0.7522140813826088,0.07540269185522384,0.05804502729539223,0.09278546396289927,0.09419283820505231,0.05564386622667454,0.14894229820075025,0.7838699610842533,0.7139491648757512,0.840021902224421,0.12015949094461192,0.07722829825697435,0.17166557079718633,0.5913180573967889,0.541618409439737,0.6318766051250577,0.40868194260321106,0.3681233948749423,0.45838159056026284,s1,2gp_km
90,0.7430269927277704,0.7343577210665229,0.7522140813826088,0.07540269185522384,0.05804502729539223,0.09278546396289927,0.09419283820505231,0.05564386622667454,0.14894229820075025,0.7838699610842533,0.7139491648757512,0.840021902224421,0.12015949094461192,0.07722829825697435,0.17166557079718633,0.5913180573967889,0.541618409439737,0.6318766051250577,0.40868194260321106,0.3681233948749423,0.45838159056026284,s1,2gp_km
0,0.7432975931212453,0.7340523585604445,0.7524103246722004,0.054082884819181776,0.036982452950183806,0.07193838269218898,0.0754729024313393,0.04399018162112993,0.1212469607208512,0.7598237578388326,0.6984412391295396,0.8179320882941117,0.16252298915592878,0.11367814070634306,0.22021443939948512,0.5735963618454197,0.5299234480927747,0.6153570059416054,0.42640363815458027,0.38464299405839464,0.4700765519072253,s10,2gp_km
14,0.7432975931212453,0.7340523585604445,0.7524103246722004,0.054082884819181776,0.036982452950183806,0.07193838269218898,0.0754729024313393,0.04399018162112993,0.1212469607208512,0.7598237578388326,0.6984412391295396,0.8179320882941117,0.16252298915592878,0.11367814070634306,0.22021443939948512,0.5735963618454197,0.5299234480927747,0.6153570059416054,0.42640363815458027,0.38464299405839464,0.4700765519072253,s10,2gp_km
30,0.7432975931212453,0.7340523585604445,0.7524103246722004,0.054082884819181776,0.036982452950183806,0.07193838269218898,0.07131960398943929,0.04134226642777075,0.11569973017116707,0.7796112061504885,0.7161735512607266,0.8297443381165197,0.1491946440825374,0.10579933873627138,0.2034458790660081,0.5872822234549012,0.5421865366166098,0.6256008651403715,0.4127177765450988,0.37439913485962845,0.45781346338339013,s10,2gp_km
60,0.7432975931212453,0.7340523585604445,0.7524103246722004,0.054082884819181776,0.036982452950183806,0.07193838269218898,0.13401106948193592,0.08475354875772997,0.1927296149480778,0.6553741346714843,0.5783965071862974,0.728517366682605,0.20830275592449105,0.15126979652155015,0.27643206446505436,0.49805067870334513,0.44352293663829595,0.5501496205965287,0.5019493212966548,0.4498503794034713,0.5564770633617041,s10,2gp_km
90,0.7432975931212453,0.7340523585604445,0.7524103246722004,0.054082884819181776,0.036982452950183806,0.07193838269218898,0.13401106948193592,0.08475354875772997,0.1927296149480778,0.6553741346714843,0.5783965071862974,0.728517366682605,0.20830275592449105,0.15126979652155015,0.27643206446505436,0.49805067870334513,0.44352293663829595,0.5501496205965287,0.5019493212966548,0.4498503794034713,0.5564770633617041,s10,2gp_km
