Age,Set,disuti_M,disuti_L,disuti_U,QL00_M,QL00_L,QL00_U,QL15_M,QL15_L,QL15_U,QL35_M,QL35_L,QL35_U
55,2gp_km,0.3532987228481657,0.3392005096904359,0.3682093506690645,0.11494479372007603,0.10346329859938275,0.12799038721571077,0.11483842574548048,0.10337553496483357,0.12786480466428693,0.11470001457182633,0.10326167562704519,0.12770209198750349
60,2gp_km,0.3685557425584711,0.35656978659543626,0.3811348706373522,0.11990404136787605,0.10816569225806567,0.13323075369124585,0.11977813799388393,0.10805815876674703,0.13308457399332616,0.11961384208863615,0.10791823849186408,0.13289356822700793
65,2gp_km,0.38448085215772665,0.37385731958233975,0.39575947902743325,0.12505456542585544,0.11289285400417538,0.1389386251030936,0.12490716963251583,0.11276422179719599,0.13876665096850818,0.12471620465704521,0.11259607011069848,0.13854301380003708
70,2gp_km,0.401154127598281,0.390076623845708,0.41276888181462323,0.130425762266766,0.11761209106165056,0.1450306862866231,0.13025321727835856,0.11746182245393783,0.1448320722154595,0.13002708671550345,0.11726479005567722,0.14457080962761357
75,2gp_km,0.4184667737454795,0.40507306546893757,0.4326069343749053,0.13603423723047806,0.12243451234342409,0.15156910578060198,0.13583130361594925,0.12226159156909486,0.15133232096843036,0.1355684585846403,0.12203563585969367,0.15102407250312064
80,2gp_km,0.4366025893153372,0.41936170110137755,0.45493645775047653,0.14194234447105789,0.12740597904744344,0.15875025880761362,0.1417034125354329,0.12720019782269407,0.15846933329556073,0.1413952396075761,0.12693080262854778,0.15810022333254897
85,2gp_km,0.4555238661162962,0.4334553151876154,0.4790921707617385,0.1480718481759542,0.13229786892631462,0.16648077061466837,0.14779323652971676,0.13206808834816894,0.16615707397863866,0.14743613909637612,0.13176407905284682,0.16572951132915806
90,2gp_km,0.4752750257612553,0.4474862933408234,0.5049709948884362,0.15443649915288243,0.13728717080209885,0.1745552658787821,0.15412352886599018,0.1370289318044228,0.17416204807138178,0.15371222559104467,0.13669666992808005,0.17365173709596257
50,ind,0.4066633083359802,0.3859504188049501,0.42788496325114955,0.11198409160107246,0.10029328514501532,0.12558805314119603,0.11182889689763184,0.10016489592425967,0.1254013316414309,0.11162431863161634,0.09999873257313321,0.12515403830058364
55,ind,0.422680256423218,0.4054347986321468,0.4405755961911935,0.11634859799132576,0.10457856122743668,0.12999742241388926,0.11617022395464173,0.10442941324143724,0.1297858663575376,0.11593631080086204,0.10423283923501755,0.12950906065498705
60,ind,0.43931430307383745,0.4250120386057226,0.4542174493478094,0.12092011061396246,0.10883849036080225,0.1348471429413022,0.12071486006711421,0.10866271976365215,0.13460573042865465,0.12045074074836383,0.1084359709060072,0.1342941122127957
65,ind,0.45668106257621643,0.4440390711752379,0.4699838893425395,0.1256829220472121,0.11318883883685503,0.1399631422653669,0.1254475909516411,0.11298336511304423,0.13969251738245164,0.12514143979064976,0.11271476542937127,0.13933969958749287
70,ind,0.4748321598760801,0.46164646016987365,0.4886019330307925,0.13058445174572086,0.11752951297936792,0.14571068999327302,0.13031695310539818,0.11729640160146718,0.1454020849712735,0.12996598886729638,0.11699261593148085,0.14499953485538575
75,ind,0.49372057194048674,0.47771589536625686,0.5105199510572553,0.13571040170291634,0.12185572049860773,0.1517158595674705,0.13540299093046887,0.12159711262434487,0.15135815916902204,0.13500810559498055,0.12126196279416454,0.1508947435545252
80,ind,0.5133451911766506,0.4926537289584136,0.5352814376193457,0.1410510381187347,0.12618701767060805,0.1582329940370492,0.14070699808420356,0.12588892299708648,0.15782769409692451,0.14026195631733374,0.12550519202056984,0.15729731596757104
85,ind,0.5337971282886121,0.5072323471555129,0.5623553065412272,0.14658880661775403,0.13048719724965002,0.16514385719801633,0.14619962832181013,0.13015741172072068,0.16466875965373517,0.14568928691970995,0.1297263447219742,0.1640533256248891
90,ind,0.554994318604791,0.5220940411409765,0.591181101576407,0.15236745667492574,0.13482838078776677,0.1727719570620238,0.15193219966160615,0.1344622255821306,0.17222843969890622,0.1513570999027188,0.13398630794922253,0.17152704064144866
50,ind_km,0.42006543566188825,0.399500587324989,0.4414892306949108,0.12972759221892669,0.11619462312986542,0.14514226693157467,0.1295362524002445,0.11603027483769787,0.14491595843467256,0.12928686783305357,0.11581815137332523,0.14461608218922986
55,ind_km,0.43356437880804416,0.41637464679578123,0.45135172355981057,0.13375703376415163,0.12020887207282974,0.14913838185879677,0.13354060261370468,0.12002454185051142,0.14888781701848824,0.13325974241415423,0.119783159071952,0.14855982877535445
60,ind_km,0.4474526215363164,0.4331612653665025,0.46224201743097687,0.13794674863424478,0.12426642665994016,0.15345711268878515,0.13770314634469175,0.12405814416715517,0.15318055043669984,0.13738977316620313,0.12378831624493185,0.1528208728665347
65,ind_km,0.4618008137003031,0.4491258895880541,0.4749047519749575,0.14230168469797796,0.1282566816414157,0.1581921758892377,0.1420316412805599,0.12802380228700794,0.15789040139651742,0.14168312111017145,0.1277166548620955,0.15749310320479262
70,ind_km,0.4767035902281563,0.4636914419226715,0.49025469420988244,0.1467620085610376,0.1322049320531256,0.1631726497846198,0.14646409302970748,0.13194558612918955,0.1628319842315549,0.14607657932845847,0.1316089640319294,0.16238144259018775
75,ind_km,0.49206655444547387,0.47633163710094745,0.5087274296673419,0.15138857031506087,0.13616213594803045,0.1685781718662217,0.15105755869021772,0.135875278867241,0.1681892418250256,0.15062251547819203,0.13550460597726688,0.16768441632364522
80,ind_km,0.5079176917222266,0.4876223758580801,0.5290758670464497,0.1561999680139518,0.1400997941785786,0.17442887956778524,0.1558311565109926,0.1397805404091681,0.17399953248757727,0.15535323620237168,0.13936466453797472,0.17344165580931759
85,ind_km,0.5243586356845329,0.4986012023807523,0.5514383610333797,0.1611570931415574,0.14379062214949878,0.1806810525030454,0.160751311449722,0.14344261396770278,0.1801995158769148,0.16022203684296282,0.14299026457945668,0.1795650755212962
90,ind_km,0.5413136643262746,0.5097725013765847,0.5751981867803062,0.16628041667185764,0.14762443087695556,0.18718031013606298,0.16582410094188937,0.1472460166262465,0.1866246197568248,0.165228119429806,0.14675522582292017,0.18591315798854963
