Age,Set,disuti_M,disuti_L,disuti_U,QL00_M,QL00_L,QL00_U,QL15_M,QL15_L,QL15_U,QL35_M,QL35_L,QL35_U
50,2gp,0.33210098888598033,0.3156044276144969,0.3496803849997707,0.08853136288324627,0.07959224024474701,0.0987487915984137,0.08846386536247253,0.07953830526291009,0.09866315933703575,0.08837684100727859,0.07946802536273909,0.0985500925564033
55,2gp,0.3481602555299673,0.33412499418068636,0.36299181472362285,0.09268038949066401,0.08359641229579398,0.10295591869469135,0.09260097745028442,0.08352559283955056,0.10286085851841223,0.09249501426790785,0.08343292415122251,0.10273602390354329
60,2gp,0.36505291750725033,0.3532501160490571,0.3773682552012559,0.09702235632424451,0.08773529151996352,0.10751926320440049,0.09692660570363879,0.08765015758656322,0.107404033451044,0.09680034899664691,0.08753804097433504,0.10725407317511118
65,2gp,0.38275366304895386,0.3721363899032607,0.3935412365098336,0.1015759625508762,0.09194407093359742,0.11256829143873143,0.10145890642644563,0.0918435775541125,0.11243313236776345,0.10130577936228709,0.09171089507751022,0.1122564272583186
70,2gp,0.4012823709790338,0.3901130956161841,0.41284851072914486,0.10633722918688326,0.09622003216121931,0.11794371075612382,0.10620038491049377,0.09609592802443594,0.11778240014487884,0.10601918988851777,0.09593557659466181,0.11757206301142657
75,2gp,0.4206660783425574,0.4070653290600194,0.43502359342370844,0.11132662527175675,0.10054449098116375,0.123700209762849,0.11116258724557436,0.10040240085670017,0.12350960871323047,0.11095010512746191,0.10021567558156201,0.12325878894000206
80,2gp,0.4410512122213338,0.42332119323178113,0.4602111100445778,0.11660743436438524,0.10492375381044011,0.13013246974745052,0.1164117528792881,0.10476043272184421,0.12989705904381252,0.11615430873339676,0.10454582612052715,0.1295896409786551
85,2gp,0.4625054821538031,0.4396795365839186,0.48733233394146336,0.12210827560897354,0.10928351015679698,0.1369667864365668,0.12187313942193898,0.10909381215651562,0.13669080775097137,0.12156804415162138,0.10884632735718051,0.13633263412367985
90,2gp,0.48497351535057215,0.4558490173805478,0.5162966109634497,0.12788574405614692,0.11377182029085987,0.1442501879312567,0.1276199226367321,0.11354926032260143,0.14391540788947021,0.12727074950789893,0.11325809730259573,0.1434723316499523
50,2gp_km,0.33869719691859773,0.3220186530560521,0.35634595719316503,0.11017386696649902,0.09891638889116498,0.12298222752413271,0.11008480678737463,0.09884232448505698,0.12287365926885183,0.10996767508125768,0.09874529975249087,0.12273033464884991
