Set,Base,Var,mean,sd
SetA,Baseline,b0,0.01767327865359733,0
SetA,Baseline,b_lr0,-0.01517252161410219,0
SetA,Baseline,ba1,-0.014840459283696041,0.0031741779448571893
SetA,Baseline,r0,8.701688728287605,1.7657326853121464
SetA,Baseline,rsd,7.11369787649e-4,0
SetA,PH,b0,0.01433580930013217,0
SetA,PH,b_lr0,-0.01543127046053612,0
SetA,PH,ba1,-0.011774399503495727,0.0027676908902039316
SetA,PH,r0,5.515261737361738,0.9705730067341457
SetA,PH,rsd,4.850803893246416e-4,0
SetA,PN,b0,0.0166482217976759,0
SetA,PN,b_lr0,-0.01549703922227829,0
SetA,PN,ba1,-0.004971616721274796,0.0029537788601257465
SetA,PN,r0,4.1074186282348,0.7863433408966168
SetA,PN,rsd,5.247155737241478e-4,0
SetB,PH,b0,0.01335785,0
SetB,PH,b_lr0,-0.014356394,0
SetB,PH,ba1,-0.00916618154545079,0.00319436311819737
SetB,PH,r0,4.9178435831337115,1.083022646103141
SetB,PH,rsd,5.11e-4,0
SetB,PN,b0,0.02205313869814984,0
SetB,PN,b_lr0,-0.01455870584255397,0
SetB,PN,ba1,0.00959740977980394,0.00601362822325815
SetB,PN,r0,2.549140108703092,1.0363238106589474
SetB,PN,rsd,0.00117864548998893,0
