Model,Var,VSet,mean,sd,SID
C2,C2_sigma,Orig,0.18835655865286152,0.04369224662059905,RamCRI
PC1,PC1_b0,Orig,2.0363120181861536,0.4472266654918622,RamCRI
PC1,PC1_bd15,Orig,-0.997416752545654,0.6659423414415159,RamCRI
PC1,PC1_bd30,Orig,-1.0421052629270102,0.5867366859514492,RamCRI
PC1,PC1_bg,Orig,0.0018670757632269,0.09776156178685064,RamCRI
PZ,PZ_b0,Orig,-7.12329671210073,2.38361824816118,RamCRI
PZ,PZ_bd15,Orig,-0.0015225696332182,0.9821749894376712,RamCRI
PZ,PZ_bd30,Orig,-0.09171301785636624,0.9711738020626212,RamCRI
PZ,PZ_bg,Orig,-5.325528281235968e-4,0.09987091211026942,RamCRI
C1,C1_b0,Orig,0.6872878261227308,0.00811554368604095,RamKOR
C1,C1_bg,Orig,0.11555481171613012,0.0297299285701605,RamKOR
C1,C1_sigma,Orig,0.1078894875157919,0.00367763645316463,RamKOR
C2,C2_b0,Orig,-0.0149826927377066,0.033015659878611,RamKOR
C2,C2_bg,Orig,-0.04125298041272396,0.0873708730410683,RamKOR
C2,C2_sigma,Orig,0.2182800717035418,0.02330223879596181,RamKOR
PC1,PC1_b0,Orig,2.4760678700319145,0.20541209906862537,RamKOR
PC1,PC1_bd15,Orig,-1.0296832158655074,0.5006060004045381,RamKOR
PC1,PC1_bd30,Orig,-0.00218897230511929,0.4827887259841208,RamKOR
PC1,PC1_bg,Orig,0.0019632277996137,0.09987042140636936,RamKOR
PZ,PZ_b0,Orig,-1.723540512113097,0.14839935617808886,RamKOR
PZ,PZ_bd15,Orig,-0.48326776718361303,0.4416351840131125,RamKOR
PZ,PZ_bd30,Orig,-0.01330678900851807,0.3675922997497163,RamKOR
PZ,PZ_bg,Orig,-7.238451312995782e-4,0.10227362851038072,RamKOR
C1,C1_b0,Orig,0.6870450143122822,0.01076304473402456,RamMEX
C1,C1_bg,Orig,0.20279299005538787,0.05111100355820359,RamMEX
C1,C1_sigma,Orig,0.09609915632083194,0.00526362115725284,RamMEX
C2,C2_b0,Orig,-0.06460718723866209,0.02828951881374336,RamMEX
C2,C2_bg,Orig,0.01092331180191788,0.09835513012323836,RamMEX
C2,C2_sigma,Orig,0.1711056017529136,0.02051874202636116,RamMEX
PC1,PC1_b0,Orig,2.656826698156987,0.39420631879115703,RamMEX
PC1,PC1_bd15,Orig,-1.5816408513745617,0.4019208490294908,RamMEX
PC1,PC1_bd30,Orig,-0.9856774481367494,0.478910437961907,RamMEX
PC1,PC1_bg,Orig,0.00183002583664816,0.1019598836230045,RamMEX
PZ,PZ_b0,Orig,-1.158527808074639,0.2203429219817495,RamMEX
PZ,PZ_bd15,Orig,-0.3620803953755085,0.5352418771430654,RamMEX
PZ,PZ_bd30,Orig,-1.0647282781210556,0.4151516071535662,RamMEX
PZ,PZ_bg,Orig,0.00164254559000302,0.10106976679093645,RamMEX
C1,C1_b0,Orig,0.7335116033854482,0.00561540998283648,RamTHA
C1,C1_bg,Orig,0.10798902680941994,0.03008505646690252,RamTHA
C1,C1_sigma,Orig,0.08202061218650145,0.00319528092717893,RamTHA
C2,C2_b0,Orig,0.12623843396949874,0.02448906455823667,RamTHA
C2,C2_bg,Orig,0.03161626616184869,0.09973089159247338,RamTHA
C2,C2_sigma,Orig,0.20431792484798103,0.01728579005185961,RamTHA
PC1,PC1_b0,Orig,2.1712550060140607,0.2746972992479592,RamTHA
PC1,PC1_bd15,Orig,-0.6593913423695786,0.5147107623256563,RamTHA
PC1,PC1_bd30,Orig,-0.23377828927576896,0.5508636248734571,RamTHA
PC1,PC1_bg,Orig,0.00111082415885831,0.098135873391625425,RamTHA
PZ,PZ_b0,Orig,-1.6394952503289597,0.20903660610365657,RamTHA
PZ,PZ_bd15,Orig,0.31325498091291304,0.5825341032929017,RamTHA
PZ,PZ_bd30,Orig,-1.0382820232234926,0.572335429252666,RamTHA
PZ,PZ_bg,Orig,-0.00149511619527696,0.10099574392146948,RamTHA
C1,C1_b0,Orig,0.7161392198567,0.00605235450582269,RamTWN
C1,C1_bg,Orig,0.02210221256601875,0.03231421941959955,RamTWN
C1,C1_sigma,Orig,0.09020069847869244,0.00331622957907554,RamTWN
C2,C2_b0,Orig,0.02422993727027678,0.02643036514208448,RamTWN
C2,C2_bg,Orig,-0.06965624571726847,0.09558533594700926,RamTWN
C2,C2_sigma,Orig,0.18745769534274084,0.01817721398547296,RamTWN
PC1,PC1_b0,Orig,2.68026112142756,0.28277509653354055,RamTWN
PC1,PC1_bd15,Orig,-1.0247901149228391,0.3353245395265951,RamTWN
PC1,PC1_bd30,Orig,-0.5332470113931429,0.3727826589138144,RamTWN
PC1,PC1_bg,Orig,-0.00133352113349272,0.1035664098617469,RamTWN
PZ,PZ_b0,Orig,-1.6317481614774103,0.1806395003088648,RamTWN
PZ,PZ_bd15,Orig,-0.18942125497308848,0.35539871073730334,RamTWN
PZ,PZ_bd30,Orig,-0.47189788045411973,0.30770785801418665,RamTWN
PZ,PZ_bg,Orig,0.00288472626924567,0.09597018755437764,RamTWN
C1,C1_b0,Orig,0.6628058588957156,0.01287355893541378,ScottUK
C1,C1_bg,Orig,0.18589240919197617,0.04978056077300601,ScottUK
C1,C1_sigma,Orig,0.0911433804885335,0.00785686798055502,ScottUK
C2,C2_b0,Orig,-0.0056565591004131,0.03460965280915386,ScottUK
C2,C2_bg,Orig,0.01730891843488987,0.10029139097182985,ScottUK
C2,C2_sigma,Orig,0.1706442955887062,0.02619819745395893,ScottUK
PC1,PC1_b0,Orig,2.3702550082720557,0.4880804118493048,ScottUK
PC1,PC1_bd15,Orig,-1.0167385240574909,0.7588155173063741,ScottUK
PC1,PC1_bd30,Orig,-1.0332670998624505,0.763540065417233,ScottUK
PC1,PC1_bg,Orig,0.0021291430062776,0.10160855813496936,ScottUK
PZ,PZ_b0,Orig,-1.7385501500636644,0.3732504678339837,ScottUK
PZ,PZ_bd15,Orig,-0.841184019996051,0.8059932278417671,ScottUK
PZ,PZ_bd30,Orig,-0.9080853004866168,0.7940948496872062,ScottUK
PZ,PZ_bg,Orig,0.00459544876232746,0.10144164256587916,ScottUK
C1,C1_b0,Orig,0.7880746554379752,0.00245239352930136,VanNL
C1,C1_bg,Orig,0.00912006974273104,0.00690273867765175,VanNL
C1,C1_sigma,Orig,0.07043143228057151,0.00137070854291057,VanNL
C2,C2_b0,Orig,0.2611237831935666,0.00877037679367556,VanNL
C2,C2_bg,Orig,0.06509722118939225,0.03595847533228642,VanNL
C2,C2_sigma,Orig,0.11861115972514868,0.00561847190502698,VanNL
PC1,PC1_b0,Orig,2.509157453218308,0.1467574790453118,VanNL
PC1,PC1_bd15,Orig,-0.9448408371408554,0.1823273602844415,VanNL
PC1,PC1_bd30,Orig,-0.6043204485193677,0.2106398117548969,VanNL
PC1,PC1_bg,Orig,6.775782861215086e-4,0.10181430098478396,VanNL
PZ,PZ_b0,Orig,-1.2800882290586038,0.15808899820713346,VanNL
PZ,PZ_bd15,Orig,-0.8220625918760847,0.4144977092754952,VanNL
PZ,PZ_bd30,Orig,-0.8030769182637779,0.3117444335127979,VanNL
PZ,PZ_bg,Orig,-0.00416329289485057,0.09805557495633872,VanNL
C1,C1_b0,UK,0.7207704337906501,0.0035652668197495,DroCAN
C1,C1_bg,UK,0.00701381861450458,0.01663765769359801,DroCAN
C1,C1_sigma,UK,0.08742076923472879,0.00178943464803501,DroCAN
C2,C2_b0,UK,0.06134162178022169,0.01490474184399821,DroCAN
C2,C2_bg,UK,-0.04289330445904753,0.0711789609615607,DroCAN
C2,C2_sigma,UK,0.1834445201795136,0.00910342494695764,DroCAN
PC1,PC1_b0,UK,2.189270642965469,0.13633245667682828,DroCAN
PC1,PC1_bd15,UK,-0.31935022489656695,0.1845940524259833,DroCAN
PC1,PC1_bd30,UK,-0.5480887969007108,0.19905173504957935,DroCAN
PC1,PC1_bg,UK,0.00187885604210604,0.1012219547520774,DroCAN
PZ,PZ_b0,UK,-1.7445551716723735,0.19372020548786076,DroCAN
PZ,PZ_bd15,UK,0.12682528209508617,0.3821643783186903,DroCAN
PZ,PZ_bd30,UK,-0.6151311973271344,0.33006952106919546,DroCAN
PZ,PZ_bg,UK,8.715770096903056e-6,0.10149898313736194,DroCAN
C1,C1_b0,UK,0.7175662639010402,0.01002188105652851,RamARG
C1,C1_bg,UK,0.00174546134211234,0.06000502586590576,RamARG
C1,C1_sigma,UK,0.10349132389252724,0.00599975282918885,RamARG
C2,C2_b0,UK,-0.04082510978283745,0.05259040061630678,RamARG
C2,C2_bg,UK,0.05499641870959239,0.09560489255783432,RamARG
C2,C2_sigma,UK,0.30637504760608353,0.0387852899973746,RamARG
PC1,PC1_b0,UK,1.9275094066829503,0.383219368042778,RamARG
PC1,PC1_bd15,UK,-0.31047614818616465,0.41230760997021226,RamARG
PC1,PC1_bd30,UK,-0.4455964174447913,0.4601794147212681,RamARG
PC1,PC1_bg,UK,-0.00230199209347633,0.10238392532524196,RamARG
PZ,PZ_b0,UK,-1.6829375317023827,0.3240046210111483,RamARG
PZ,PZ_bd15,UK,-0.8375340512234379,0.4816075154442551,RamARG
PZ,PZ_bd30,UK,0.00165204852956456,0.43506179286474433,RamARG
PZ,PZ_bg,UK,-2.450252870485043e-4,0.09971681407808938,RamARG
C1,C1_b0,UK,0.6126374859976687,0.02048437288432295,RamCRI
C1,C1_bg,UK,0.0659342766968839,0.06481423338943249,RamCRI
C1,C1_sigma,UK,0.1034053645819111,0.01101889404576354,RamCRI
C2,C2_b0,UK,-0.09786047775053658,0.05129482054588522,RamCRI
C2,C2_bg,UK,-0.02768785497461506,0.09734864340401822,RamCRI
C2,C2_sigma,UK,0.1892573610912188,0.04529379369725046,RamCRI
PC1,PC1_b0,UK,2.0343703179228276,0.4489043390986981,RamCRI
PC1,PC1_bd15,UK,-0.9773540233825871,0.6534302513766306,RamCRI
PC1,PC1_bd30,UK,-1.05873908546128,0.5959642743827581,RamCRI
PC1,PC1_bg,UK,0.00228565720179872,0.09867702020192182,RamCRI
PZ,PZ_b0,UK,-7.179406985849895,2.452344681743274,RamCRI
PZ,PZ_bd15,UK,-0.02043369247021312,1.020856890005971,RamCRI
PZ,PZ_bd30,UK,-0.13793895255532637,1.0106861548533488,RamCRI
PZ,PZ_bg,UK,6.598751290474249e-4,0.09822494986408394,RamCRI
C1,C1_b0,UK,0.6874630520039149,0.0085540523200864,RamKOR
C1,C1_bg,UK,0.1153090626935784,0.02966622017716257,RamKOR
C1,C1_sigma,UK,0.10782455830678137,0.00353772691138449,RamKOR
C2,C2_b0,UK,-0.01651065350104949,0.03434909473689556,RamKOR
C2,C2_bg,UK,-0.03742273250118159,0.08743679575505754,RamKOR
C2,C2_sigma,UK,0.2190158002836893,0.02271481087210273,RamKOR
PC1,PC1_b0,UK,2.474683026324117,0.21189416847090764,RamKOR
PC1,PC1_bd15,UK,-1.028934519898974,0.48312709415807303,RamKOR
PC1,PC1_bd30,UK,-0.00195894461933582,0.4811747628095356,RamKOR
PC1,PC1_bg,UK,0.00377462297159738,0.10479751389748546,RamKOR
PZ,PZ_b0,UK,-1.7156729990215045,0.1500934447741741,RamKOR
PZ,PZ_bd15,UK,-0.34225528010497114,0.4219952515537112,RamKOR
PZ,PZ_bd30,UK,0.05808420666281885,0.365731250911616,RamKOR
PZ,PZ_bg,UK,-0.00258682716712643,0.10199983348726008,RamKOR
C1,C1_b0,UK,0.6875688643370929,0.01047983079050614,RamMEX
C1,C1_bg,UK,0.1995925617404408,0.05017870288118476,RamMEX
C1,C1_sigma,UK,0.09637633805296508,0.00548949522458555,RamMEX
C2,C2_b0,UK,-0.06601608033299684,0.02705193312897616,RamMEX
C2,C2_bg,UK,0.00842246549192115,0.103245001010783,RamMEX
C2,C2_sigma,UK,0.1712648154189812,0.02041069104347373,RamMEX
PC1,PC1_b0,UK,2.660648055147826,0.3913085119947754,RamMEX
PC1,PC1_bd15,UK,-1.6038649694704792,0.4015811796139209,RamMEX
PC1,PC1_bd30,UK,-0.9799918324068472,0.49040744533662384,RamMEX
PC1,PC1_bg,UK,6.191348188143618e-4,0.0996405777453552,RamMEX
PZ,PZ_b0,UK,-1.1544229885564237,0.21827041780141276,RamMEX
PZ,PZ_bd15,UK,-0.3624332885148639,0.541614838482205,RamMEX
PZ,PZ_bd30,UK,-1.0591523581506337,0.40773623155072675,RamMEX
PZ,PZ_bg,UK,0.00109360642104795,0.09950310475415154,RamMEX
C1,C1_b0,UK,0.7336579386219182,0.00544580788828923,RamTHA
C1,C1_bg,UK,0.10706582665463434,0.02952863370942873,RamTHA
C1,C1_sigma,UK,0.08228439709923467,0.00313195101963064,RamTHA
C2,C2_b0,UK,0.12692886646774124,0.02414470539463101,RamTHA
C2,C2_bg,UK,0.02755889862502061,0.09927192568680464,RamTHA
C2,C2_sigma,UK,0.20422154499727416,0.01784254942024718,RamTHA
PC1,PC1_b0,UK,2.168597431965551,0.26712776036501024,RamTHA
PC1,PC1_bd15,UK,-0.6398324774838545,0.4930809869031577,RamTHA
PC1,PC1_bd30,UK,-0.25072208883387165,0.5299086691529115,RamTHA
PC1,PC1_bg,UK,6.835079838017936e-4,0.10129604709948324,RamTHA
PZ,PZ_b0,UK,-1.635989289102635,0.1995980989419958,RamTHA
PZ,PZ_bd15,UK,0.2722588178837836,0.556247927678948,RamTHA
PZ,PZ_bd30,UK,-1.0043224976902452,0.5691484204842053,RamTHA
PZ,PZ_bg,UK,-0.00118783660828681,0.0995154366933026,RamTHA
C1,C1_b0,UK,0.7165419662751098,0.00612221930071679,RamTWN
C1,C1_bg,UK,0.0218006984401485,0.03253362007056174,RamTWN
C1,C1_sigma,UK,0.09026604670012058,0.00330040475450792,RamTWN
C2,C2_b0,UK,0.02359313602514784,0.02466612412347094,RamTWN
C2,C2_bg,UK,-0.06650375209912694,0.09448088516074962,RamTWN
C2,C2_sigma,UK,0.1877244517484526,0.01752242672549057,RamTWN
PC1,PC1_b0,UK,2.682683989874633,0.29743557916193253,RamTWN
PC1,PC1_bd15,UK,-1.0304825898021452,0.3374678461107782,RamTWN
PC1,PC1_bd30,UK,-0.5360506356860877,0.387110118107582,RamTWN
PC1,PC1_bg,UK,0.00402899329778026,0.09820892546771597,RamTWN
PZ,PZ_b0,UK,-1.6376830856114104,0.17740898911421835,RamTWN
PZ,PZ_bd15,UK,-0.24878199262151357,0.3733047621970905,RamTWN
PZ,PZ_bd30,UK,-0.5215502466314175,0.30426998196197463,RamTWN
PZ,PZ_bg,UK,0.00109948736861604,0.0988858456775517,RamTWN
C1,C1_b0,UK,0.6632489248570864,0.01367302394955044,ScottUK
C1,C1_bg,UK,0.18355653159856583,0.05162210073604165,ScottUK
C1,C1_sigma,UK,0.09107620915382478,0.00818690781249621,ScottUK
C2,C2_b0,UK,-0.00573944863008567,0.03356472909144448,ScottUK
C2,C2_bg,UK,0.01699673200968013,0.100322658183185,ScottUK
C2,C2_sigma,UK,0.16918420788057453,0.02553195551347207,ScottUK
PC1,PC1_b0,UK,2.367029908755484,0.4963669574635174,ScottUK
PC1,PC1_bd15,UK,-1.0254887747669286,0.777145346928895,ScottUK
PC1,PC1_bd30,UK,-1.0072387157466371,0.7642297656452527,ScottUK
PC1,PC1_bg,UK,-0.00150088274516554,0.09849220222355992,ScottUK
PZ,PZ_b0,UK,-1.7499947481042293,0.3828329465001722,ScottUK
PZ,PZ_bd15,UK,-0.892678376642073,0.8130746157667954,ScottUK
PZ,PZ_bd30,UK,-0.8690783687972673,0.8071642209098348,ScottUK
PZ,PZ_bg,UK,0.00383587227568571,0.10205117330559256,ScottUK
C1,C1_b0,UK,0.7449726188822382,0.00240163404774673,VanNL
C1,C1_bg,UK,0.00974558716553713,0.0066483321035868,VanNL
C1,C1_sigma,UK,0.0695333130458047,0.00142743588705434,VanNL
C2,C2_b0,UK,0.15704084973408766,0.01003258988147707,VanNL
C2,C2_bg,UK,0.05939356061158237,0.04303615008061814,VanNL
C2,C2_sigma,UK,0.1443495069635219,0.00661852716472494,VanNL
PC1,PC1_b0,UK,2.45561323830826,0.13728479693462822,VanNL
PC1,PC1_bd15,UK,-0.9629736198400008,0.18358759386705115,VanNL
PC1,PC1_bd30,UK,-0.6246821874709806,0.2055075003748704,VanNL
PC1,PC1_bg,UK,-0.00152794269322778,0.10060811668997048,VanNL
PZ,PZ_b0,UK,-1.2489926628779855,0.15360476515503013,VanNL
PZ,PZ_bd15,UK,-1.1987616786246866,0.5188202272692284,VanNL
PZ,PZ_bd30,UK,-1.2016346186926332,0.3614241351422147,VanNL
PZ,PZ_bg,UK,8.173113925168371e-4,0.0980086204289084,VanNL
C1,C1_b0,Orig,0.8636509366300903,0.00250605113028456,DEU
C1,C1_bg,Orig,-0.00759667159067644,0.0115269583765644,DEU
C1,C1_sigma,Orig,0.06412350520706576,0.00128544477198602,DEU
C2,C2_b0,Orig,0.2972290210924391,0.00958214962401695,DEU
C2,C2_bg,Orig,-0.01895292033547636,0.04351321205615526,DEU
C2,C2_sigma,Orig,0.10284954325447838,0.00508262802295575,DEU
PC1,PC1_b0,Orig,2.060678374188286,0.1739581601472649,DEU
PC1,PC1_bd15,Orig,-0.29387480657214715,0.4071250033773449,DEU
PC1,PC1_bd30,Orig,0.12196908474337392,0.3586956546098238,DEU
PC1,PC1_bg,Orig,0,0,DEU
PZ,PZ_b0,Orig,-1.4858520293167752,0.15500238120051765,DEU
PZ,PZ_bd15,Orig,0.23537224635840873,0.28505003077215957,DEU
PZ,PZ_bd30,Orig,0.7388105917344243,0.26209355141464213,DEU
PZ,PZ_bg,Orig,0,0,DEU
C1,C1_b0,Orig,0.8024505934298164,0.00519206087447049,ESP
C1,C1_bg,Orig,0.03502686735078639,0.03515669534766928,ESP
C1,C1_sigma,Orig,0.1051344662216624,0.00277852398986032,ESP
C2,C2_b0,Orig,0.28111134070578037,0.01467790189607544,ESP
C2,C2_bg,Orig,0.06573609966059817,0.07264419859807257,ESP
C2,C2_sigma,Orig,0.2650141265085805,0.009316571958245,ESP
PC1,PC1_b0,Orig,0.7399566526097039,0.14697095936671292,ESP
PC1,PC1_bd15,Orig,0.17791533806404222,0.23485231549343277,ESP
PC1,PC1_bd30,Orig,-0.48292885277523134,0.2244497756135162,ESP
PC1,PC1_bg,Orig,0,0,ESP
PZ,PZ_b0,Orig,-4.108719914411636,0.488249990530415,ESP
PZ,PZ_bd15,Orig,-0.44450082986919526,0.5848102038833062,ESP
PZ,PZ_bd30,Orig,0.6186764072358998,0.6037125877754714,ESP
PZ,PZ_bg,Orig,0,0,ESP
C1,C1_b0,Orig,0.7395326575259054,0.00185169204931442,ITA
C1,C1_bg,Orig,0.01238828023419082,0.00901210947905473,ITA
C1,C1_sigma,Orig,0.04210985138451692,9.681685619594568e-4,ITA
C2,C2_b0,Orig,0.4970067107313697,0.01299436267951271,ITA
C2,C2_bg,Orig,-0.11066625115314464,0.06675262270283293,ITA
C2,C2_sigma,Orig,0.16524976228701158,0.00815216935520818,ITA
PC1,PC1_b0,Orig,1.3453878955135072,0.1682375268799052,ITA
PC1,PC1_bd15,Orig,0.30591474431980836,0.2892129636625074,ITA
PC1,PC1_bd30,Orig,-0.18607595897999776,0.2731723584016815,ITA
PC1,PC1_bg,Orig,0,0,ITA
PZ,PZ_b0,Orig,-1.8746512379973304,0.1864445513155733,ITA
PZ,PZ_bd15,Orig,-0.00857743755480412,0.4404647336787916,ITA
PZ,PZ_bd30,Orig,-0.7752220460022292,0.3899534822182027,ITA
PZ,PZ_bg,Orig,0,0,ITA
C1,C1_b0,Orig,0.8267418481414888,0.00539874998392509,JPN
C1,C1_bg,Orig,0.00537063508117477,0.02908991883764136,JPN
C1,C1_sigma,Orig,0.08821229266542623,0.00249223007903275,JPN
C2,C2_b0,Orig,0.1894396028707165,0.01983828801571834,JPN
C2,C2_bg,Orig,-0.00495219815641897,0.08106718420721247,JPN
C2,C2_sigma,Orig,0.243857396399865,0.01247907066032423,JPN
PC1,PC1_b0,Orig,1.5558971225860916,0.15798037398559395,JPN
PC1,PC1_bd15,Orig,-0.19850381045189824,0.27592733366528416,JPN
PC1,PC1_bd30,Orig,-0.5429090351370881,0.24960323113630029,JPN
PC1,PC1_bg,Orig,0,0,JPN
PZ,PZ_b0,Orig,-1.8918438635767816,0.1816064766879145,JPN
PZ,PZ_bd15,Orig,0.24966728903388125,0.39819445460911496,JPN
PZ,PZ_bd30,Orig,-0.5420489625444673,0.35873158856354137,JPN
PZ,PZ_bg,Orig,0,0,JPN
C1,C1_b0,UK,0.7429256866290556,0.00306989899025875,DEU
C1,C1_bg,UK,-0.02862988335664608,0.01394211321393057,DEU
C1,C1_sigma,UK,0.08053517377805162,0.00161008922892593,DEU
C2,C2_b0,UK,0.13267363691340023,0.01255148217559063,DEU
C2,C2_bg,UK,-0.10183680865637176,0.05460707056569405,DEU
C2,C2_sigma,UK,0.13574392838754668,0.00713528506417066,DEU
PC1,PC1_b0,UK,1.7972063915609493,0.1529696497814272,DEU
PC1,PC1_bd15,UK,-0.3681778644004482,0.3979583472156999,DEU
PC1,PC1_bd30,UK,0.17636182547081344,0.3492891923214746,DEU
PC1,PC1_bg,UK,0,0,DEU
PZ,PZ_b0,UK,-1.7093608162468343,0.16496564639613462,DEU
PZ,PZ_bd15,UK,0.5277410384928183,0.2796162798058798,DEU
PZ,PZ_bd30,UK,0.7607400149295644,0.2627082431049886,DEU
PZ,PZ_bg,UK,0,0,DEU
C1,C1_b0,UK,0.7247933577142789,0.00417607880427402,ESP
C1,C1_bg,UK,0.00124140188143572,0.02672869454432195,ESP
C1,C1_sigma,UK,0.09572709459772488,0.00214246039222875,ESP
C2,C2_b0,UK,0.02056966821018802,0.01405033177458873,ESP
C2,C2_bg,UK,0.00796779841191307,0.07145993477232865,ESP
C2,C2_sigma,UK,0.19715662504410145,0.00868829775086916,ESP
PC1,PC1_b0,UK,1.7549630585796614,0.19406603950663776,ESP
PC1,PC1_bd15,UK,-0.8098651680387021,0.2617205063695745,ESP
PC1,PC1_bd30,UK,-0.2805620736314784,0.27686118780217184,ESP
PC1,PC1_bg,UK,0,0,ESP
PZ,PZ_b0,UK,-4.601897423730457,0.572059027231533,ESP
PZ,PZ_bd15,UK,-0.32559082755431384,0.6951049045631711,ESP
PZ,PZ_bd30,UK,0.5390167004686031,0.6981031723490212,ESP
PZ,PZ_bg,UK,0,0,ESP
C1,C1_b0,UK,0.7489043313489311,0.00322809806358868,ITA
C1,C1_bg,UK,0.01762050741081891,0.01545935255723012,ITA
C1,C1_sigma,UK,0.07913825752109556,0.00185750041715657,ITA
C2,C2_b0,UK,0.0832953101167657,0.01981131761887022,ITA
C2,C2_bg,UK,-0.19069306239046255,0.08708542453069258,ITA
C2,C2_sigma,UK,0.2156315872157283,0.01355286920223588,ITA
PC1,PC1_b0,UK,2.4889199559190858,0.2710454738194663,ITA
PC1,PC1_bd15,UK,-0.30418307140045436,0.3251441538941563,ITA
PC1,PC1_bd30,UK,-0.625390849407367,0.3619313652750919,ITA
PC1,PC1_bg,UK,0,0,ITA
PZ,PZ_b0,UK,-1.7505627124373624,0.18317817262144492,ITA
PZ,PZ_bd15,UK,-0.1492490668603534,0.4043291793648471,ITA
PZ,PZ_bd30,UK,-0.6109147312126232,0.3696358539423729,ITA
PZ,PZ_bg,UK,0,0,ITA
C1,C1_b0,UK,0.7556885177664939,0.0040966073700879,JPN
C1,C1_bg,UK,0.02449531557643391,0.02177204311475325,JPN
C1,C1_sigma,UK,0.07122390789378621,0.00204911696744367,JPN
C2,C2_b0,UK,0.09335571403208975,0.01544898839475994,JPN
C2,C2_bg,UK,0.02717326162891679,0.07202338588000917,JPN
C2,C2_sigma,UK,0.18144716146654064,0.01008761437008751,JPN
PC1,PC1_b0,UK,1.6715341437185445,0.16978921917849096,JPN
PC1,PC1_bd15,UK,-0.2150995828261445,0.2682009495609381,JPN
PC1,PC1_bd30,UK,-0.811903629454398,0.25216031379619713,JPN
PC1,PC1_bg,UK,0,0,JPN
PZ,PZ_b0,UK,-1.7234652433816855,0.16284724475912704,JPN
PZ,PZ_bd15,UK,0.23704914259796656,0.42601561642862007,JPN
PZ,PZ_bd30,UK,-0.77194663027383,0.34670458977645224,JPN
PZ,PZ_bg,UK,0,0,JPN
