Age,QL00_M,QL00_L,QL00_U,QL15_M,QL15_L,QL15_U,QL35_M,QL35_L,QL35_U,Var
50,0.11872622174110874,0.11020505810114276,0.12749539583401423,0.11817132237667335,0.10970310644597636,0.1268636899475866,0.11743979243314707,0.1090619857434549,0.12603141238983945,s10
51,0.11987777168727821,0.11162594211151616,0.12858813934080027,0.1193011236257121,0.11113202121102493,0.1279450598636214,0.11855312982428125,0.11047882387645921,0.12709744082377472,s10
52,0.12113708876479581,0.11284020443175438,0.12958019022561482,0.1205499926528377,0.11232106323839317,0.12893140700371444,0.11978321774513331,0.11163648692470576,0.1280767468100018,s10
53,0.12229793195106994,0.11419253724758842,0.1306557767638219,0.12170562531667448,0.11366861527235093,0.12999582162981332,0.1209249934771259,0.11298806633760436,0.1291092840020853,s10
54,0.12358099978964679,0.1155163595898563,0.13160036828129043,0.12296504289563513,0.11495889203163068,0.13091673135138002,0.12216238806478825,0.1142384266091381,0.1300164127392923,s10
55,0.12476163835774011,0.1167248339594143,0.13268159121133333,0.12414342974002981,0.1161675868468875,0.1319971291722338,0.1233204071184898,0.11544254509500065,0.1310843211272685,s10
56,0.12598709315187212,0.11812926313679613,0.13379909402753265,0.12535618024494277,0.11754636754815771,0.13309250903065437,0.12452094983048252,0.11679021613826032,0.13216215704915757,s10
57,0.1272042230894973,0.11951475344949285,0.1350039280881819,0.12655765731846486,0.11890470579591536,0.13429726256156432,0.12571429208330678,0.1181319125017857,0.13336682973704625,s10
58,0.128470893634098,0.12086549210537498,0.13631060006519582,0.1278100111625688,0.12027082328766996,0.13559772780601448,0.126935630728516,0.11948729158843266,0.13465889058750669,s10
59,0.12973760684016006,0.1222672454135925,0.13756750098958703,0.12906755640818168,0.12165835855514476,0.13681479321621132,0.12818518508623672,0.12085620571115349,0.13585767039599378,s10
60,0.13104742477965864,0.12348062609966581,0.1386598137511516,0.1303493973733562,0.1228473006317551,0.13791748277689214,0.12943188181353327,0.12202952651183319,0.13694034803338445,s10
