Age,QL00_M,QL00_L,QL00_U,QL15_M,QL15_L,QL15_U,QL35_M,QL35_L,QL35_U,Var
50,0.10435371362191821,0.09747327255198424,0.1122429473576113,0.10388290446137449,0.09706136629002958,0.11170974020734784,0.10326840378144048,0.09651770008126388,0.11100691321689897,s1
51,0.10566660907461917,0.09882784293047517,0.11338668520017903,0.10519571672943634,0.09840427631102563,0.11284227158596132,0.10457210125592299,0.09784530278081353,0.11212457047445196,s1
52,0.10704291828472093,0.10027523832297262,0.11453960466700515,0.1065502252575552,0.09984086037889296,0.11398344474714919,0.10590165546627373,0.09926800667968796,0.11325054376965168,s1
53,0.10839286056505848,0.10177193542978465,0.115780140384673,0.10788939169910475,0.10132030142610081,0.11519328173011893,0.10722792244301571,0.10072457826008369,0.11442026913598145,s1
54,0.1097698710888834,0.10329222829264659,0.11688104414316923,0.10925199022679269,0.10282771264897274,0.1163014703207718,0.10857294727078894,0.10221529227974009,0.11553791735423069,s1
55,0.11110592100089807,0.10480052331477151,0.11805644901966861,0.1105761127496562,0.1043216815026707,0.11744868716189127,0.10988615964145629,0.10369022584772611,0.11664836790009854,s1
56,0.1125658549551253,0.10628238775267101,0.11937786267831119,0.11202759810900167,0.10579167211305761,0.11875599986466844,0.11131814221303318,0.10514463434651074,0.11793767030466541,s1
57,0.11400537073550931,0.10782957494347715,0.12072910349959853,0.1134483162352166,0.10732427540664857,0.12011520378505759,0.11271998834849631,0.10665805806899564,0.11930663897562989,s1
58,0.11542311832957633,0.10932099017708069,0.1220799236904152,0.1148583283650601,0.10880344696016447,0.12145383175399227,0.11411202711215758,0.10812122346754603,0.12062924756471055,s1
59,0.11688372225395838,0.11072176555469336,0.12340675939266509,0.11628501969514249,0.11019055591558258,0.12273880997170997,0.115509648328295,0.10949042165322856,0.12185962992069796,s1
60,0.11835427450978343,0.11216798679600241,0.12465329963867627,0.11775466921859314,0.11162460097392933,0.12398169565874409,0.11696147269569299,0.11090849850500212,0.12309776088182034,s1
61,0.11981307250384846,0.11382577999898025,0.12604498451533866,0.11919357176864512,0.1132424430000587,0.12535841236797948,0.11838234942139425,0.1124741077099012,0.12445425795764584,s1
62,0.12134779572325384,0.11526847848908864,0.12737389445743344,0.1207098015448533,0.11466975525542455,0.12667967286734336,0.11987587077664844,0.11388144963007385,0.12576572502583708,s1
63,0.12292019578411562,0.11680793534201285,0.12885964654765952,0.12226633290872409,0.11621333232852142,0.128149926436493,0.12139665450147137,0.11542552633311971,0.127216019535374,s1
64,0.12445005770989848,0.11839973454856581,0.13035164602006624,0.12377350909992868,0.11777697530162458,0.1296237140427135,0.12289766498141501,0.11694022395967792,0.1286661366501712,s1
65,0.12598757985610243,0.11969741087506011,0.13186753765566198,0.12530630132626103,0.11905150395970646,0.1311223077884878,0.12441186125757325,0.1182013690566591,0.1301421314367448,s1
66,0.12756351209803024,0.12121216505259275,0.13343696600052218,0.12686244903375138,0.12054967739857386,0.13265569918597073,0.12593732861986962,0.1196777822931975,0.13163697846064218,s1
67,0.1291517991509389,0.12274567427937014,0.13495896321060752,0.1284299513785822,0.12206564893930677,0.13417719293529784,0.1274854512192703,0.12117123593333558,0.1331492913419904,s1
68,0.13079108131185796,0.1243650652129175,0.13655182121782997,0.13005086689010237,0.12369051304536392,0.13575711319621367,0.12908086084176573,0.12280322744452134,0.13471213964127954,s1
69,0.13243630151601044,0.12598769481871155,0.1384859265337439,0.1316846089444674,0.12527545086988498,0.13767186474617654,0.13068817782439182,0.12436637454669769,0.13660156852749958,s1
70,0.13403382637736655,0.1274764084163798,0.14025504532814909,0.13325436987206643,0.1267387445690756,0.13941249525736307,0.1322335052923902,0.12579843394797743,0.1383052270966938,s1
71,0.1356571043322018,0.12905057971323639,0.1420698788361475,0.13485360054760837,0.12832435217065183,0.1412087778535801,0.13380450324795534,0.12733527979950462,0.14007717704476855,s1
72,0.13738220513785643,0.13045743697453885,0.14396870880973398,0.13656306772247415,0.1297055974893034,0.143067428738839,0.1354887515526602,0.12871573175007223,0.1418836165747701,s1
