SID,visit,t_m,t_l,t_u,t_exp,cnt,n,Prop
Drolet et al. 2010,1,5,0,14,0,258,263,0.9809885931558935
Drolet et al. 2010,2,11,4,41,7,247,263,0.9391634980988594
Drolet et al. 2010,3,19,7,48,14,247,263,0.9391634980988594
Drolet et al. 2010,4,26,14,55,21,248,263,0.9429657794676806
Drolet et al. 2010,5,35,23,136,30,242,263,0.9201520912547528
Drolet et al. 2010,6,65,41,140,60,242,263,0.9201520912547528
Drolet et al. 2010,7,96,67,164,90,234,263,0.8897338403041825
Drolet et al. 2010,8,126,113.5,183,120,236,263,0.8973384030418251
Drolet et al. 2010,9,156,124,263,150,236,263,0.8973384030418251
Drolet et al. 2010,10,186,158,392,180,230,263,0.8745247148288974
Rampakakis et al. 2017 Argentina,1,5,0,14,0,52,53,0.9811320754716981
Rampakakis et al. 2017 Argentina,2,12,7,21,7,53,53,1
Rampakakis et al. 2017 Argentina,3,19,14,28,14,52,53,0.9811320754716981
Rampakakis et al. 2017 Argentina,4,26,21,35,21,51,53,0.9622641509433962
Rampakakis et al. 2017 Argentina,5,35,30,44,30,53,53,1
Rampakakis et al. 2017 Argentina,6,65,60,74,60,49,53,0.9245283018867925
Rampakakis et al. 2017 Argentina,7,95,90,104,90,52,53,0.9811320754716981
Rampakakis et al. 2017 Argentina,8,125,120,134,120,49,53,0.9245283018867925
Rampakakis et al. 2017 Argentina,9,155,150,164,150,49,53,0.9245283018867925
Rampakakis et al. 2017 Argentina,10,186,181,195,180,46,53,0.8679245283018868
Rampakakis et al. 2017 Costa Rica,1,9,3,13,0,7,7,1
Rampakakis et al. 2017 Costa Rica,2,16,10,20,7,7,7,1
Rampakakis et al. 2017 Costa Rica,3,23,17,27,14,7,7,1
Rampakakis et al. 2017 Costa Rica,4,30,24,34,21,7,7,1
Rampakakis et al. 2017 Costa Rica,5,39,33,43,30,7,7,1
Rampakakis et al. 2017 Costa Rica,6,66.5,63,73,60,6,7,0.8571428571428571
Rampakakis et al. 2017 Costa Rica,7,99,93,103,90,7,7,1
Rampakakis et al. 2017 Costa Rica,8,129.5,123,133,120,6,7,0.8571428571428571
Rampakakis et al. 2017 Costa Rica,9,159.5,153,163,150,6,7,0.8571428571428571
Rampakakis et al. 2017 Costa Rica,10,190.5,184,194,180,6,7,0.8571428571428571
Rampakakis et al. 2017 Korea,1,7,1,14,0,89,89,1
Rampakakis et al. 2017 Korea,2,12,8,16,7,30,89,0.33707865168539325
Rampakakis et al. 2017 Korea,3,19,15,23,14,31,89,0.34831460674157305
Rampakakis et al. 2017 Korea,4,26,22,30,21,33,89,0.3707865168539326
Rampakakis et al. 2017 Korea,5,37,31,44,30,87,89,0.9775280898876404
Rampakakis et al. 2017 Korea,6,67,61,74,60,83,89,0.9325842696629213
Rampakakis et al. 2017 Korea,7,97,91,104,90,85,89,0.9550561797752809
Rampakakis et al. 2017 Korea,8,127,121,134,120,84,89,0.9438202247191011
Rampakakis et al. 2017 Korea,9,157,151,164,150,85,89,0.9550561797752809
Rampakakis et al. 2017 Korea,10,188,182,195,180,84,89,0.9438202247191011
Rampakakis et al. 2017 Mexico,1,6,0,14,0,39,39,1
Rampakakis et al. 2017 Mexico,2,13.5,7,21,7,38,39,0.9743589743589743
Rampakakis et al. 2017 Mexico,3,20,14,28,14,39,39,1
Rampakakis et al. 2017 Mexico,4,27,21,35,21,39,39,1
Rampakakis et al. 2017 Mexico,5,36,30,44,30,39,39,1
Rampakakis et al. 2017 Mexico,6,66,60,74,60,38,39,0.9743589743589743
Rampakakis et al. 2017 Mexico,7,96,90,104,90,38,39,0.9743589743589743
Rampakakis et al. 2017 Mexico,8,126,120,134,120,37,39,0.9487179487179487
Rampakakis et al. 2017 Mexico,9,156.5,150,164,150,34,39,0.8717948717948718
Rampakakis et al. 2017 Mexico,10,187,181,195,180,33,39,0.8461538461538461
Rampakakis et al. 2017 Taiwan,1,5,0,14,0,130,130,1
Rampakakis et al. 2017 Taiwan,2,9,7,12,7,36,130,0.27692307692307694
Rampakakis et al. 2017 Taiwan,3,19,14,24,14,108,130,0.8307692307692308
Rampakakis et al. 2017 Taiwan,4,26,21,35,21,127,130,0.9769230769230769
Rampakakis et al. 2017 Taiwan,5,35,30,44,30,129,130,0.9923076923076923
Rampakakis et al. 2017 Taiwan,6,65,60,74,60,130,130,1
Rampakakis et al. 2017 Taiwan,7,95,90,104,90,130,130,1
Rampakakis et al. 2017 Taiwan,8,125,120,134,120,129,130,0.9923076923076923
Rampakakis et al. 2017 Taiwan,9,155,150,164,150,129,130,0.9923076923076923
Rampakakis et al. 2017 Taiwan,10,186,181,195,180,129,130,0.9923076923076923
Rampakakis et al. 2017 Thailand,1,4,0,14,0,162,162,1
Rampakakis et al. 2017 Thailand,2,11,7,21,7,161,162,0.9938271604938271
Rampakakis et al. 2017 Thailand,5,34,30,44,30,162,162,1
Rampakakis et al. 2017 Thailand,7,94,90,104,90,160,162,0.9876543209876543
Rampakakis et al. 2017 Thailand,10,185,181,195,180,160,162,0.9876543209876543
Scott et al. 2006,1,4,1,11,0,55,55,1
Scott et al. 2006,2,38,15,57,30,55,55,1
Scott et al. 2006,3,100,87,189,90,55,55,1
Scott et al. 2006,4,191,175,221,180,55,55,1
van Wijck et al. 2016,1,4,0,14,0,547,547,1
van Wijck et al. 2016,2,21,14,88,14,515,547,0.9414990859232175
van Wijck et al. 2016,3,37,28,105,30,522,547,0.9542961608775137
van Wijck et al. 2016,4,98,86,150,90,517,547,0.9451553930530164
van Wijck et al. 2016,5,189.5,161,256,180,502,547,0.9177330895795247
van Wijck et al. 2016,6,281,271,353,270,482,547,0.8811700182815356
van Wijck et al. 2016,7,372.5,361,464,365,466,547,0.8519195612431444
