Cap,Age,Dur,QL00,QL15,QL35
Perfect health,50,121 (110 - 132),0.103 (0.093 - 0.113),0.102 (0.092 - 0.113),0.102 (0.092 - 0.112)
Perfect health,60,136 (128 - 145),0.115 (0.106 - 0.123),0.114 (0.106 - 0.123),0.113 (0.105 - 0.122)
Perfect health,70,153 (143 - 165),0.128 (0.118 - 0.140),0.127 (0.117 - 0.139),0.126 (0.116 - 0.138)
Perfect health,80,172 (156 - 194),0.143 (0.128 - 0.162),0.142 (0.127 - 0.161),0.141 (0.126 - 0.159)
Perfect health,90,193 (167 - 228),0.160 (0.136 - 0.189),0.159 (0.136 - 0.187),0.157 (0.134 - 0.185)
Population norm,50,116 (106 - 128),0.057 (0.051 - 0.063),0.056 (0.051 - 0.063),0.056 (0.051 - 0.062)
Population norm,60,122 (114 - 130),0.053 (0.048 - 0.057),0.052 (0.048 - 0.057),0.052 (0.048 - 0.057)
Population norm,70,128 (118 - 139),0.049 (0.044 - 0.054),0.049 (0.044 - 0.054),0.048 (0.044 - 0.053)
Population norm,80,135 (119 - 153),0.045 (0.040 - 0.051),0.045 (0.040 - 0.051),0.045 (0.040 - 0.051)
Population norm,90,142 (118 - 169),0.044 (0.037 - 0.052),0.044 (0.037 - 0.051),0.043 (0.037 - 0.051)
Pre-HZ baseline,50,90 (80 - 102),0.062 (0.048 - 0.075),0.062 (0.048 - 0.075),0.062 (0.048 - 0.074)
Pre-HZ baseline,60,104 (95 - 115),0.070 (0.056 - 0.084),0.070 (0.055 - 0.084),0.070 (0.055 - 0.084)
Pre-HZ baseline,70,121 (108 - 133),0.078 (0.059 - 0.096),0.078 (0.059 - 0.095),0.077 (0.058 - 0.095)
Pre-HZ baseline,80,141 (121 - 161),0.083 (0.060 - 0.108),0.083 (0.060 - 0.108),0.082 (0.060 - 0.107)
Pre-HZ baseline,90,164 (133 - 196),0.087 (0.057 - 0.123),0.086 (0.057 - 0.122),0.086 (0.056 - 0.121)
