Cap,Age,Dur,QL00,QL15,QL35
Perfect health,50,121 (111 - 133),0.095 (0.086 - 0.105),0.094 (0.086 - 0.104),0.094 (0.085 - 0.103)
Perfect health,60,136 (128 - 145),0.106 (0.098 - 0.114),0.105 (0.097 - 0.113),0.104 (0.097 - 0.112)
Perfect health,70,154 (143 - 165),0.118 (0.108 - 0.129),0.117 (0.108 - 0.128),0.117 (0.107 - 0.127)
Perfect health,80,173 (154 - 193),0.132 (0.118 - 0.148),0.131 (0.117 - 0.147),0.130 (0.116 - 0.145)
Perfect health,90,195 (165 - 228),0.148 (0.126 - 0.173),0.147 (0.125 - 0.171),0.145 (0.124 - 0.169)
Population norm,50,116 (106 - 128),0.050 (0.045 - 0.056),0.050 (0.045 - 0.056),0.050 (0.045 - 0.056)
Population norm,60,122 (115 - 130),0.046 (0.042 - 0.051),0.046 (0.042 - 0.051),0.046 (0.042 - 0.050)
Population norm,70,128 (119 - 139),0.043 (0.038 - 0.047),0.042 (0.038 - 0.047),0.042 (0.038 - 0.046)
Population norm,80,135 (119 - 153),0.039 (0.034 - 0.044),0.039 (0.034 - 0.044),0.038 (0.034 - 0.044)
Population norm,90,142 (119 - 169),0.037 (0.031 - 0.043),0.037 (0.031 - 0.043),0.037 (0.031 - 0.043)
Pre-HZ baseline,50,90 (80 - 102),0.057 (0.044 - 0.069),0.057 (0.044 - 0.069),0.056 (0.044 - 0.069)
Pre-HZ baseline,60,104 (95 - 114),0.064 (0.050 - 0.077),0.064 (0.050 - 0.076),0.064 (0.050 - 0.076)
Pre-HZ baseline,70,121 (109 - 133),0.071 (0.053 - 0.087),0.071 (0.053 - 0.086),0.070 (0.053 - 0.086)
Pre-HZ baseline,80,141 (121 - 160),0.076 (0.056 - 0.098),0.076 (0.056 - 0.098),0.075 (0.056 - 0.097)
Pre-HZ baseline,90,164 (134 - 195),0.078 (0.053 - 0.110),0.078 (0.053 - 0.109),0.077 (0.053 - 0.108)
