r0,ba1,lp__
9.52644554462173,-0.016563037683366384,-1348.6741246747358
11.037035078710709,-0.018434744890169816,-1349.359728659857
8.832146615792041,-0.014598388411058814,-1349.1607926148863
8.134427967162777,-0.01378961723753971,-1348.7170937229698
8.660651194622227,-0.015835947699214457,-1349.1521956088682
9.00296205148177,-0.01440889393462598,-1350.15587284975
8.690984910780008,-0.015513347140551723,-1348.729765631153
7.8458007518666,-0.013271267289700961,-1348.761121817753
7.421331560036551,-0.011668764174267226,-1349.897679480432
8.371522062749797,-0.014781841234326295,-1348.6471406655999
11.694581633079386,-0.020161169298681246,-1349.8053029513892
11.04693476257308,-0.01870374302445926,-1349.247595568184
6.539165657148919,-0.011058130856063135,-1349.5047731145553
8.574127456447835,-0.014759341638868382,-1348.5997149314812
11.335255609843644,-0.018533694532858795,-1349.8370165542563
8.195183442172219,-0.01386103266471908,-1348.7352949260837
12.430626331414599,-0.01996248037144659,-1350.514076211914
11.759388142652364,-0.019859141169533308,-1349.6393028388993
9.264289467193954,-0.015618257309274162,-1348.849893989818
6.504445040167837,-0.011716424470660923,-1350.4802067358426
8.059298523961525,-0.013925419293747122,-1348.636882789902
9.682552214238571,-0.017097122408616234,-1348.8088501154284
6.251379634691695,-0.010160042261757145,-1349.7096874750803
11.882368238327864,-0.019987888759882298,-1349.7106212738236
8.347661331858218,-0.01562317300932024,-1349.803303486222
8.546393220567298,-0.014554183402933523,-1348.6699588008469
9.880911279598392,-0.017666716644907342,-1349.0846956486787
9.648739939199569,-0.015892549555372844,-1349.3858517993658
7.872381570160589,-0.014457804049062419,-1349.3889469672727
5.7706312254644265,-0.01014492920396989,-1351.8842656001625
11.294561580090816,-0.01872453790492799,-1349.5460265315203
9.885933404431984,-0.016671023033918934,-1348.9441420258242
6.389598752560121,-0.009981479761990241,-1349.7445307098594
5.564611555610112,-0.008928062295250316,-1350.9874761462506
9.79793037199353,-0.01713395010188851,-1348.7699073876672
11.450047465655286,-0.018485353356745553,-1350.216521061035
7.873149125808898,-0.013487619620239432,-1348.691304360685
11.446594920031846,-0.019193100012978772,-1349.4771142965699
7.877115472510488,-0.013626242382942676,-1348.6781659491319
12.492133294745127,-0.021028605054608178,-1350.204847339903
7.977267256678947,-0.014112059290910486,-1348.747201675592
9.674512928164146,-0.017305295313862205,-1348.989584885502
8.080670111558993,-0.014460021548113102,-1348.8380052754717
6.818227333472997,-0.011743070356058505,-1349.3068679342878
9.041670783137771,-0.016001814534584838,-1348.6702193458682
8.4731935112131,-0.015607496719842047,-1349.3279753738043
13.372479104632536,-0.02172588270527521,-1350.7621340099324
12.326661199224413,-0.020783716767548158,-1350.070021486455
7.676474410661369,-0.012802015705193018,-1348.905367662518
7.558578714356359,-0.012482698600744791,-1349.0227002013773
10.893873666962438,-0.01937394534795563,-1349.7404017854342
12.45038593692501,-0.021276394357280633,-1350.441343707418
7.8958190167928395,-0.013280600114782366,-1348.80348353537
12.152444462046345,-0.02088426574295121,-1350.2221554604644
8.884255711125046,-0.015886618831587717,-1348.7640446956052
10.100816876544664,-0.017559913723572407,-1348.8507994309098
8.413830541190979,-0.014394989026465622,-1348.635915900385
6.734246464216407,-0.012055793827189345,-1349.944174873461
7.520984829666719,-0.013650242208792919,-1349.3399569332003
9.391907105394685,-0.01665877251344822,-1348.7647192525108
9.138563121669923,-0.01568105709834353,-1348.6475650340185
8.154213273357913,-0.013932507519320543,-1348.6599546653476
10.693786798660401,-0.01870955977255446,-1349.2230300388685
7.890756117252992,-0.012041096536839803,-1351.251345675326
7.169815394293484,-0.012975186193063343,-1349.5928687699322
6.370721108537451,-0.011471921378889544,-1350.755098257404
8.052876203182688,-0.01385664240848159,-1348.6449256297144
7.46024556887767,-0.013330486559530392,-1349.1200682851447
7.282109700151052,-0.012168121984072498,-1348.961116341387
6.966484852447026,-0.010557069884086324,-1350.4761609146933
7.103581279407087,-0.013139307079668703,-1350.189797032242
6.980933303838367,-0.012186538432363154,-1349.2560213868794
8.311324187371785,-0.01440278245745218,-1348.5975616464357
9.712587978720583,-0.017070360479252835,-1348.7758837773324
11.296496010448646,-0.018844635481642783,-1349.4617089103606
6.858109957206727,-0.0108209214100689,-1349.6107380055325
7.404471121324494,-0.01264786880772618,-1348.8464719064564
7.384858493155719,-0.012760093205174017,-1348.8744058446819
13.621231238939025,-0.022761176965016113,-1351.4291130960462
6.752984753351584,-0.010030795638048496,-1350.7561172309802
10.928719517196257,-0.01763698802296164,-1350.185502717288
11.484355693344533,-0.01935550014514958,-1349.4743351579962
9.877759090221192,-0.015529640858252586,-1351.199769381264
6.775243535361292,-0.012123296135228568,-1349.8725242046892
10.736316313815921,-0.01845660585957556,-1349.094734264726
8.761707003911532,-0.015169673085312321,-1348.5823470961702
13.645361631168813,-0.022390739036104463,-1351.0669867264562
6.8879457236243935,-0.01123020031559517,-1349.2479242201962
5.120158755761349,-0.005861182092654183,-1352.8545289121846
7.716504811784871,-0.012430270828517616,-1349.4678671940192
8.771207303395483,-0.014975888044378598,-1348.6552655776904
7.340040846842569,-0.012878223660604066,-1348.9964512966155
9.21995518572627,-0.01635810534090964,-1348.725295382408
9.604314458159623,-0.016665846401311777,-1348.6907228316884
10.089610418072283,-0.01709900808962104,-1348.9259398149654
7.715667442208868,-0.012921057413673146,-1348.8604304087687
12.012748313923812,-0.020758922793293912,-1350.1957599238106
9.925385927849344,-0.016172807687948553,-1349.744399512404
5.295699981192019,-0.007641888120980203,-1351.085682567712
8.429607783047507,-0.01549814030738721,-1349.281277110803
8.290350407577728,-0.014044839921556685,-1348.7176865350866
11.738642431315915,-0.020293960695746727,-1349.9037641505379
11.239585232214596,-0.019481134080521552,-1349.492901078919
9.528458948090321,-0.01716923771891529,-1349.0660761716179
7.5927459122648715,-0.013941556697351684,-1349.5414654392116
8.17647374268489,-0.014410687733300022,-1348.6671663116042
9.21484766893377,-0.018706583718809327,-1355.2834107404008
7.901400723348538,-0.013542267916308776,-1348.6840047515527
9.03932307026092,-0.015689194236988273,-1348.595642713245
9.446778181235507,-0.01604644837959656,-1348.777230746381
5.940411992610266,-0.00916009090831959,-1350.0911918666172
8.508648186258574,-0.014088731462519294,-1349.0693307792749
9.26488625499626,-0.015370205357651462,-1349.1492876997306
10.018291077134753,-0.017417990065829062,-1348.8197238441157
11.394631814473918,-0.01977709965133022,-1349.6488964858077
7.620904559055975,-0.013844604289995526,-1349.2906297335328
7.875026038385063,-0.013472700703551093,-1348.695255422773
10.719702877856106,-0.01767052805975948,-1349.5300031671438
8.480864076148814,-0.015415302928290348,-1349.0217535769866
10.58974852919613,-0.018464963457252865,-1349.1137359483412
11.415364731696542,-0.019596056993586235,-1349.5071002213676
6.818776441779113,-0.010847987570625293,-1349.4983197818487
4.833772333304426,-0.0055270638576446676,-1352.4766681775932
10.002144700227138,-0.016315044901399216,-1349.722130095119
7.36369004636624,-0.012121659189469277,-1349.070304852538
7.602627586066039,-0.011971739157560208,-1349.965547084187
8.272765014491556,-0.01305808976916648,-1350.3056769570544
6.738176182614756,-0.011202739450124727,-1349.2537694065477
5.762612123570352,-0.008825569672792738,-1350.3140439014132
8.646874065544802,-0.01448258925901852,-1348.8813049322232
13.219487761654426,-0.021663770661062006,-1350.6466545424103
9.567197542439436,-0.01688611039702189,-1348.765451193916
7.001722642839447,-0.011372337418299981,-1349.2532076404184
7.917987536781653,-0.014321390554526876,-1349.05611539585
7.510403499808347,-0.012060511623489178,-1349.468567825865
5.2077115304836505,-0.009009160269035593,-1354.0185082312153
8.761078598270892,-0.015898445388336263,-1348.996276955345
10.048404433711367,-0.017691976213902,-1348.9305633008596
10.45830686623296,-0.018385500863619425,-1349.1379859991307
9.484134537236557,-0.017153289209239565,-1349.127681140585
14.2630656861463,-0.023162935821174565,-1351.6363906840945
10.35562387234442,-0.017001160027350862,-1349.5790808033653
10.153097990272808,-0.01749353789779626,-1348.85230484526
8.970171541369009,-0.015765958479022135,-1348.6148738248844
10.750072645074475,-0.01878399778591807,-1349.2434087889765
13.196927494572861,-0.021410585223372636,-1350.6475338629002
9.381217967882664,-0.018006336834498225,-1351.4097702958693
10.119925256106136,-0.017622039640576948,-1348.8667722438845
8.444183191751861,-0.014742653604885102,-1348.5893502017777
11.32844832717123,-0.019055815544916716,-1349.4045570443234
7.868698310424697,-0.01383872419288507,-1348.739671424155
5.174213983907446,-0.0067684519116691585,-1351.5042729389556
7.88982408140611,-0.01411991816479437,-1348.9048252452887
9.309008335990141,-0.015960234402486076,-1348.6745487683613
8.021863597839385,-0.013155006192234673,-1349.176459840712
7.836174269276409,-0.012722678471504621,-1349.3359780944045
9.290460069376808,-0.015143189937205183,-1349.6201232727165
5.340721411095091,-0.008779000470316402,-1352.149190955194
5.842001155449799,-0.010304979120425,-1351.7196289602373
8.685472331000051,-0.016025676852174243,-1349.3867772221533
