b0,sigma,lp__,Model,bd15,bd30
0.6726097100642526,0.10129426437726698,141.70994173484232,C1,NA,NA
0.7044772431916283,0.09349672106208379,141.7112667657078,C1,NA,NA
0.6988256499885375,0.0902378468775762,141.743709896993,C1,NA,NA
0.6756636856342446,0.08998596219852502,142.1694176429105,C1,NA,NA
0.6746520130134789,0.09707056380123505,140.2683278136978,C1,NA,NA
0.6702831019787487,0.0915412546350129,140.0589998617679,C1,NA,NA
0.6917544234444366,0.09914066182025236,142.7544376543088,C1,NA,NA
0.6863299471238208,0.09519953428145458,143.1381968289791,C1,NA,NA
0.7003014670630372,0.08522803369547313,139.53660267625426,C1,NA,NA
0.6655563159135659,0.10318904622138175,139.47539646295434,C1,NA,NA
0.6712840819678078,0.09607515357055764,141.94983652476597,C1,NA,NA
0.6926191127403192,0.08649765383236177,140.65673767207804,C1,NA,NA
0.6579645313170316,0.08816216371339615,138.10873795056108,C1,NA,NA
0.6990964549216323,0.09856389980497948,142.45374744821464,C1,NA,NA
0.6894084226343707,0.10229497329307578,142.45327362981334,C1,NA,NA
0.6888542425438439,0.10241917376191292,142.4607906202163,C1,NA,NA
0.6656042829120792,0.09390385100704889,139.80738829716984,C1,NA,NA
0.6834632449547581,0.09680095781754874,142.47605056062875,C1,NA,NA
0.6859076921950348,0.1025875444200518,142.00561658028167,C1,NA,NA
0.6800430191481702,0.10032905468549672,142.07162469187415,C1,NA,NA
0.6846631353349435,0.09282749604408191,142.99925739548462,C1,NA,NA
0.6856591613651101,0.08598007666285849,141.53246173692906,C1,NA,NA
0.7003707182896315,0.09397467967613939,142.01123909781654,C1,NA,NA
0.6821886609577121,0.09616774244030803,141.77618242346395,C1,NA,NA
0.6794152792684628,0.09683555865937901,142.3055122607405,C1,NA,NA
0.7036618244086427,0.08877259551703526,139.10119262713445,C1,NA,NA
0.6967437920968729,0.10096891306551861,142.39133476421858,C1,NA,NA
0.6753047399424151,0.10108836448229,141.989030854511,C1,NA,NA
0.6840213911966359,0.0959303768029529,143.17386725847405,C1,NA,NA
0.6845947459307409,0.10171737003807668,142.41169914527504,C1,NA,NA
0.690241373108549,0.0918222957511943,141.2575940170473,C1,NA,NA
0.6763309974964685,0.08768259084105333,141.27021737286597,C1,NA,NA
0.6799138425626918,0.09449213129104153,143.00123891456948,C1,NA,NA
0.688710245088108,0.09889033958415538,143.02921067404804,C1,NA,NA
0.6641152657635161,0.0958088299620756,140.86210254653543,C1,NA,NA
0.701855944399859,0.09876977250359781,141.17283110877224,C1,NA,NA
0.7091224676362163,0.09323003878965842,140.09782218518225,C1,NA,NA
0.6948889851515887,0.0970818645966598,142.6317748419394,C1,NA,NA
0.7001596343340324,0.10072571395495605,141.4262343115247,C1,NA,NA
0.6948527450543589,0.09266771521056916,142.5312433467692,C1,NA,NA
0.6820737295367532,0.09593647806041097,143.11482722913988,C1,NA,NA
0.707430158531914,0.08489903329148214,138.2089802442835,C1,NA,NA
0.6870726726967813,0.09326470315984411,143.19075287456238,C1,NA,NA
0.6790275284792657,0.09287720130000511,142.18459192505412,C1,NA,NA
0.6772740454283389,0.09926096565407305,142.42662180686645,C1,NA,NA
0.6874515209450206,0.0886786749576039,142.31931949617527,C1,NA,NA
0.6915685698351596,0.09812380543776646,142.8911123175505,C1,NA,NA
0.6976043983249935,0.08892371553031665,140.48374459691485,C1,NA,NA
0.6769684325289121,0.09730608888873218,142.70192881508143,C1,NA,NA
0.6893457091143359,0.0957620438318375,143.19370606762715,C1,NA,NA
0.6780712754297517,0.08737196543042494,141.72835732650972,C1,NA,NA
0.6890756409829296,0.09379041907641701,142.93447871078584,C1,NA,NA
0.680929843250531,0.08890939217298885,141.7960624429798,C1,NA,NA
0.6668049824362207,0.09729130562257186,141.33674131360206,C1,NA,NA
0.6747451378608559,0.09460978188026638,141.32316800979999,C1,NA,NA
0.681999819062731,0.09203970590863945,142.91238449180838,C1,NA,NA
0.7032455923590546,0.09662920365874005,141.40785413968396,C1,NA,NA
0.7066976055140368,0.09079911899108341,139.691703511282,C1,NA,NA
0.7109207192574414,0.10122499952819622,139.93907304978998,C1,NA,NA
0.6692928079791742,0.09873404736520555,141.64630517445136,C1,NA,NA
