bg,Model
0.12326365051886395,C1
0.0633232703363901,C1
0.10910236670432744,C1
0.1293676556534248,C1
0.11561721395089451,C1
0.16796399070028284,C1
0.06161092971508046,C1
0.12632051000335598,C1
0.15816452790054022,C1
0.15613102163304612,C1
0.12740414543446518,C1
0.10172500962946682,C1
0.13499041023058486,C1
0.07825482724559392,C1
0.08209847598643343,C1
0.04418502755856856,C1
0.08095650113034164,C1
0.0901487021188283,C1
0.13724610051486727,C1
0.1281828793922409,C1
0.12490482716446133,C1
0.12617012036253414,C1
0.13365326335348535,C1
0.09679062902554736,C1
0.12073532012202357,C1
0.1381838897928358,C1
0.12421781473940238,C1
0.08618832788672356,C1
0.14107578800348852,C1
0.08203042644727199,C1
0.10903014577416405,C1
0.12017147702218477,C1
0.14207263503893272,C1
0.15005329713301652,C1
0.14940742768275625,C1
0.08951402133434402,C1
0.11663634550938973,C1
0.11262717573457853,C1
0.1285749722206722,C1
0.12075426556549786,C1
0.1339898733947561,C1
0.08229936077605246,C1
0.11507624911415637,C1
0.11604863686464018,C1
0.10517648688309437,C1
0.1818289363376081,C1
0.09319295036694214,C1
0.12047038732944708,C1
0.16324043337349303,C1
0.0704011841142348,C1
0.08878784179826833,C1
0.1489243119071674,C1
0.13353332331695103,C1
0.10049920649515454,C1
0.11072523569601925,C1
0.1255732134961034,C1
0.13908330325243387,C1
0.13472511887413322,C1
0.08183682906514188,C1
0.11931175172197811,C1
0.032750963488761574,C1
0.12220199053179123,C1
0.1544235517244265,C1
0.07631275966521547,C1
0.10816463486479815,C1
0.15532354354083236,C1
0.06613640336903477,C1
0.13927911003691218,C1
0.10811225325081056,C1
0.20369800963937845,C1
0.09303285461172933,C1
0.1332015417068292,C1
0.1196047222375776,C1
0.07783561385181383,C1
0.11681882114046473,C1
0.044462918996026744,C1
0.11492300688851578,C1
0.1620648910430035,C1
0.11624461017894716,C1
0.16636659164692474,C1
0.1748837497886563,C1
0.09718923562126079,C1
0.07385268280734376,C1
0.08259063787925357,C1
0.1181703762129314,C1
0.11296015804662234,C1
0.13027692180884087,C1
0.11148069316673717,C1
0.16316872451936992,C1
0.10967418852614302,C1
0.1213478118968107,C1
0.11811662342408237,C1
0.06043765057362636,C1
0.14587621827251482,C1
0.12471477263186206,C1
0.13221002102807833,C1
0.10962457661713572,C1
0.14758666684550215,C1
0.13576305107174994,C1
0.11295425390180591,C1
0.13870135817216023,C1
0.06621242072266785,C1
0.15146903444670703,C1
0.12828696287681124,C1
0.11219927238482971,C1
0.056514720620334705,C1
0.10154660902526437,C1
0.114571457601616,C1
0.08140055452610295,C1
0.14353293425706706,C1
0.1502382106557692,C1
0.11429207238723513,C1
0.15521790199464655,C1
0.08990412456794755,C1
0.1263012960082989,C1
0.08955238674396866,C1
0.06837875986570008,C1
0.07767430422542754,C1
0.17108235631780594,C1
0.1613742600694848,C1
0.09557034086190103,C1
0.10671254163633685,C1
0.14793144150800372,C1
0.12324215361250442,C1
0.09749455948899863,C1
0.15179310250493622,C1
0.15061088220132743,C1
0.09093775091710098,C1
0.11274536814438532,C1
0.1230609242078515,C1
0.13247622078924157,C1
0.18628685915576618,C1
0.07102550547077663,C1
0.10742644991862767,C1
0.10730484448901798,C1
0.12088730593770991,C1
0.16668215702408798,C1
0.10449224218939829,C1
0.14211616160399057,C1
0.08876652649773487,C1
0.0897233849226553,C1
0.08199067526412271,C1
0.11709165274085107,C1
0.11341301418307632,C1
0.1530516075689829,C1
0.05985607868770018,C1
0.13887002414353045,C1
0.16474099372632198,C1
0.11246435760522715,C1
0.15338362251407683,C1
0.10495804786839584,C1
0.11319331239738716,C1
0.11054925304139784,C1
0.12678393208384603,C1
0.11138702112776401,C1
0.18273581804677103,C1
0.09775979678237534,C1
0.13080854925944058,C1
0.16402030375085125,C1
0.13333972267320762,C1
0.12954396892925812,C1
0.12165547232500676,C1
0.12308975178586021,C1
0.09325867014054594,C1
0.11694045306224878,C1
0.15741200704694142,C1
0.13704732412236378,C1
0.10721811245176963,C1
0.14075837570724803,C1
0.09983077676172379,C1
0.0924245115659348,C1
0.033483927001309755,C1
0.1249556656743428,C1
0.13956528525718373,C1
0.11360704317115902,C1
0.11390590571730708,C1
0.09151535595184293,C1
0.16142144859056534,C1
0.12267269869751783,C1
0.14817231194688096,C1
0.10346851741725892,C1
0.10786341409922283,C1
0.12768665628814635,C1
0.14145123618560237,C1
0.13261056760914955,C1
0.15130898674433613,C1
0.17534049118216097,C1
0.11864335899355612,C1
0.14229313995420384,C1
0.0975883017268241,C1
0.14590147449782728,C1
0.1085988018715611,C1
0.11089566559061872,C1
0.09434129829416248,C1
0.12360786296038145,C1
0.16046978685909258,C1
0.0922400517275456,C1
0.061369266776575504,C1
0.12813976606213764,C1
0.10905062370809583,C1
0.08874730949338588,C1
0.1275064786052069,C1
0.16607854066811858,C1
0.14886551702467818,C1
0.15360329035258874,C1
0.11024781943506368,C1
0.16270652213727443,C1
0.14161779931609841,C1
0.07515048858536476,C1
0.12672476511972694,C1
0.1655883773885222,C1
0.11986904562201842,C1
0.10564238767124016,C1
0.1031604826717124,C1
0.12495431597745335,C1
0.08815893228319913,C1
0.16321098742535872,C1
0.09145380709843032,C1
0.09272676640243588,C1
0.1267388806042844,C1
0.14009678589782684,C1
0.11165191925144402,C1
0.10788094916211587,C1
0.14048936232689896,C1
0.12730636384999702,C1
0.11608786498329694,C1
0.1478548407256243,C1
0.14743359376713888,C1
0.126781432929654,C1
0.12215234529001724,C1
0.13713257292982958,C1
0.11172511785356258,C1
0.10810597163597528,C1
0.1492273928878103,C1
0.06622114708249954,C1
0.20053488721107743,C1
0.16266278476338636,C1
0.09994042292375448,C1
0.1401327637616584,C1
0.07180949580927128,C1
0.11552923363528425,C1
0.0696205732443217,C1
0.04889064205254713,C1
0.07324111365453044,C1
0.0983249195062874,C1
0.11225646189915049,C1
0.07063103555911465,C1
0.10228955414445724,C1
0.09686388518242221,C1
0.08279361489898424,C1
0.14194176067582365,C1
0.12503573810619004,C1
0.1412809925041569,C1
0.17624844000735673,C1
0.17573814899115928,C1
0.1454172732677789,C1
0.1129230808728502,C1
0.11878743950538091,C1
0.1506366630533349,C1
0.11409478936210936,C1
0.08068515728410201,C1
0.07320206599569966,C1
0.15835228280831448,C1
0.15605876510983555,C1
0.06798620357451081,C1
0.11550946260524785,C1
0.09918359187802994,C1
0.13092404934910493,C1
0.13602621645441218,C1
0.09983382591326645,C1
0.027869819747430063,C1
0.12297472168234752,C1
0.07676950807928204,C1
0.10381378164348848,C1
0.11445470433573401,C1
0.08777598054635039,C1
0.09634862269802617,C1
0.08975047260796706,C1
0.09970315400591498,C1
0.1357002854342943,C1
0.10563998525137515,C1
0.13938167939291343,C1
0.10126520085968263,C1
0.0733299675797001,C1
0.14563482934893518,C1
0.1314067399983364,C1
0.1340031124742806,C1
0.07001639431272741,C1
0.10895023075472753,C1
0.10448437190079762,C1
0.13278890795544854,C1
0.12406077028710863,C1
0.05386972652514728,C1
0.11350629032716165,C1
0.1256852209057411,C1
0.09473975626951316,C1
0.120389896629976,C1
0.05299696858913415,C1
0.13002830906680748,C1
0.08538280364908574,C1
0.13507118629673986,C1
0.10858960332128643,C1
0.12046143359367886,C1
0.10827326004570115,C1
0.08720987700522784,C1
0.07801291014628371,C1
0.11059947378791637,C1
0.15364914006766517,C1
0.09832184500378767,C1
0.13495954893302517,C1
0.1400195518806598,C1
0.11074037963696427,C1
0.12120326229709358,C1
0.10219143896172478,C1
0.10260675424070623,C1
0.10976714788171314,C1
0.11397898395015223,C1
0.10193121292623936,C1
0.08693376779119621,C1
0.07611690365369159,C1
0.11168032451815586,C1
0.08095650113034164,C1
0.1232972334481134,C1
0.10341453980336002,C1
0.09199357424944231,C1
0.09716728335759073,C1
0.12607956896058803,C1
0.14840125712928998,C1
0.10238709367581506,C1
0.1013967806954483,C1
0.1413227227053759,C1
0.1303246258421885,C1
