study,proxy,Source,Age,norm,norm_leoss,SID,SIK
Drolet et al. 2010,Canada,Poder et al.,18,0.843,0.8593713060632404,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,19,0.843,0.8575379654612578,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,20,0.843,0.8557370923231938,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,21,0.843,0.8539639014408232,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,22,0.843,0.8522136076059207,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,23,0.843,0.8504814256102615,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,24,0.843,0.8487625702456204,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,25,0.865,0.8470522563037725,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,26,0.865,0.8453456985764927,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,27,0.865,0.8436381118555558,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,28,0.865,0.8419247109327369,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,29,0.865,0.8401943695920474,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,30,0.837,0.8384477634310595,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,31,0.837,0.8366978099618888,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,32,0.837,0.8349574266966517,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,33,0.837,0.8332395311474634,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,34,0.837,0.8315570408264404,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,35,0.837,0.8299228732456982,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,36,0.837,0.8283499459173532,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,37,0.837,0.8268511763535206,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,38,0.837,0.8254394820663169,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,39,0.837,0.8239737644957082,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,40,0.824,0.8223389875355286,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,41,0.824,0.8205871623786953,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,42,0.824,0.8187703002181252,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,43,0.824,0.8169404122467353,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,44,0.824,0.8151495096574433,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,45,0.804,0.8134496036431659,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,46,0.804,0.8118927053968202,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,47,0.804,0.8105308261113235,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,48,0.804,0.8094159769795927,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,49,0.804,0.808600169194545,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,50,0.798,0.808199203623278,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,51,0.798,0.8082339852939933,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,52,0.798,0.8086141816412635,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,53,0.798,0.8092494600996627,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,54,0.798,0.8100494881037631,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,55,0.805,0.8109239330881388,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,56,0.805,0.8117824624873622,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,57,0.805,0.8125347437360071,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,58,0.805,0.8130904442686463,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,59,0.805,0.8133592315198531,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,60,0.822,0.813601305582469,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,61,0.822,0.8140959998385117,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,62,0.822,0.8147816816563193,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,63,0.822,0.8155967184042295,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,64,0.822,0.8164794774505799,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,65,0.832,0.817368326163709,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,66,0.832,0.8182016319119538,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,67,0.832,0.8189177620636525,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,68,0.832,0.8194550839871432,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,69,0.832,0.8197519650507631,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,70,0.827,0.8197467726228505,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,71,0.827,0.8194691194809107,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,72,0.827,0.8190129038623288,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,73,0.827,0.8184129213252611,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,74,0.827,0.8177039674278646,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,75,0.803,0.8169208377282956,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,76,0.803,0.8160983277847111,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,77,0.803,0.8152712331552677,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,78,0.803,0.814474349398122,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,79,0.803,0.8137424720714306,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,80,0.803,0.8131103967333504,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,81,0.803,0.8125053286786996,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,82,0.803,0.8118372393100027,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,83,0.803,0.8111150733469757,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,84,0.803,0.8103477755093348,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,85,0.803,0.8095442905167953,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,86,0.803,0.8087135630890739,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,87,0.803,0.8078645379458859,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,88,0.803,0.8070061598069476,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,89,0.803,0.8061473733919748,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,90,0.803,0.8052971234206836,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,91,0.803,0.804456156411121,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,92,0.803,0.8036170337221625,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,93,0.803,0.8027764223347665,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,94,0.803,0.8019309892298918,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,95,0.803,0.8010774013884966,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,96,0.803,0.8002123257915393,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,97,0.803,0.7993324294199784,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,98,0.803,0.7984343792547725,DroCAN,1
