Age,disuti_M,disuti_L,disuti_U,QL00_M,QL00_L,QL00_U,QL15_M,QL15_L,QL15_U,QL35_M,QL35_L,QL35_U,Batch,Set
50,0.3386386379764294,0.32331397934490413,0.35546102573964045,0.10668935885080288,0.0961636194149153,0.11804671590905526,0.10660382397490523,0.09608991436760438,0.1179392314295418,0.1064908694117533,0.0959935207625638,0.11779870142324869,s1,2gp_km
55,0.352198028074435,0.33906246609494667,0.3664613257799609,0.11103106709652216,0.09999039200783041,0.12247312135861663,0.11092870981105864,0.09990999059900733,0.12235148906843461,0.11079534515993214,0.0997958186332513,0.12219247885589103,s1,2gp_km
60,0.36621215648623695,0.3548579345399781,0.37858198423154543,0.11537500040320024,0.10419805231611906,0.12713983440397472,0.11525396166985669,0.10409483372650066,0.1269923747215566,0.11509575966506216,0.10395991509970895,0.12679968018962387,s1,2gp_km
65,0.38058463668530074,0.3700903702529211,0.39229051378667074,0.11985497218456369,0.10837324379447448,0.1318885811067759,0.11971547766667132,0.10825510789271858,0.1317340952152486,0.11953453942782029,0.10810072318019612,0.13152567939888204,s1,2gp_km
70,0.39580422721955355,0.3844720637039008,0.40763955753128056,0.12462490624934738,0.11262666823232689,0.1372932796734653,0.12446567274076983,0.11248456706806616,0.1371125195497779,0.12426005325918614,0.11229407409921063,0.13687613261311923,s1,2gp_km
75,0.4115496327279639,0.3982293824663791,0.42580640833279376,0.12952174875322503,0.11684268494469982,0.14310216426842162,0.12934284270478763,0.11668063321873172,0.14290551297931167,0.12909808074594706,0.11646899852722,0.14263918935174166,s1,2gp_km
80,0.4276919928006732,0.41115599167910044,0.4457006741561642,0.1347192074286705,0.12131540154497306,0.14921339839479245,0.13449893654461292,0.12113760924473387,0.1489703060576719,0.1342184137341511,0.12090077240539893,0.14865288564757834,s1,2gp_km
85,0.44467833074849994,0.4239377569003482,0.4671615037899801,0.1399889625547152,0.1257226535923697,0.15560460469242482,0.1397509833754737,0.1255152629680091,0.15533956391796944,0.13943448839283684,0.12524458432621027,0.15498099210166716,s1,2gp_km
90,0.46227593116335824,0.43693937989050446,0.4901326144332585,0.14550506361705187,0.13007798650009045,0.1623967858507761,0.14523560380846584,0.12984677237312603,0.16206734476731527,0.14488553390430992,0.12954540433248693,0.16164164059699956,s1,2gp_km
50,0.32653843950271344,0.3098268337784275,0.3434144627411744,0.11759491073838065,0.10533130934841221,0.13245802162897172,0.11750593757929198,0.1052594799832024,0.13234967391750105,0.11738578496983526,0.10516394615949853,0.1322079739393839,s10,2gp_km
55,0.34311530530103956,0.32905638017051864,0.3576081575160107,0.12364127602689873,0.11111093778536509,0.13908231919246966,0.12353302264718495,0.11101992483983245,0.1389584948979402,0.12339082256330794,0.11090990303482458,0.1387964526563235,s10,2gp_km
60,0.36052255929187993,0.34892915346028147,0.372894515764951,0.13002996009593135,0.11688462840191814,0.14602518588754207,0.12990446607371742,0.11677158274113117,0.14586265359130143,0.12973877993409114,0.11662380322138016,0.1456502311621956,s10,2gp_km
65,0.378773352817277,0.36841363494333035,0.38987366509758115,0.1368142314500786,0.12291668793714519,0.15314666517096798,0.13665543413716658,0.12277644367622861,0.15296492616427748,0.13645426731510468,0.12259317818049101,0.15271581921282892,s10,2gp_km
70,0.39810427796481185,0.3877500542377142,0.4091464584416537,0.14386474671852648,0.12927764781935924,0.1611272833818403,0.14367021029253355,0.1291090960396839,0.16089980819058547,0.143412241628838,0.12888892909917543,0.16060270477442146,s10,2gp_km
75,0.41823052830096896,0.405275461964864,0.4318831188055107,0.15122612946020544,0.13546769416057977,0.1695303144876092,0.15098563378526259,0.1352855556678512,0.16926892697724674,0.1506855739377165,0.13504603055509118,0.16892483959430546,s10,2gp_km
