bg,Model
0.07773524043598085,C1
0.11235477823534636,C1
0.07199681816679744,C1
0.12917233152813992,C1
0.10135614367377771,C1
0.13583430417133577,C1
0.10021098049060996,C1
0.08705345924567126,C1
0.08978327109710504,C1
0.10109987742848964,C1
0.11857382321224072,C1
0.07438918905619517,C1
0.10342023577194995,C1
0.11286679166208187,C1
0.10709791605975415,C1
0.14098438646302666,C1
0.13294834225836016,C1
0.09291681236689545,C1
0.13631154940159218,C1
0.06082536131083963,C1
0.15532055348946927,C1
0.11376171042888819,C1
0.09091306485677043,C1
0.098896850922935,C1
0.06272285470725728,C1
0.10088739296591963,C1
0.13937557890255872,C1
0.09715511091560344,C1
0.15450730308858773,C1
0.13977377163841742,C1
0.10173122572916574,C1
0.11116580049113454,C1
0.10779785733968428,C1
0.1270318896720772,C1
0.1271072705697449,C1
0.10853521299613011,C1
0.12970159585166183,C1
0.0929654892425408,C1
0.13779544553074558,C1
0.0931340384867047,C1
0.07888623207533084,C1
0.08557756138778888,C1
0.11658680980867024,C1
0.0930974906771326,C1
0.08174664929659131,C1
0.12005385364985169,C1
0.149051934238967,C1
0.12703011295339217,C1
0.10641359707524675,C1
0.13495646559697674,C1
0.11563342380541479,C1
0.08354391383756973,C1
0.08074161408270654,C1
0.055126923958176886,C1
0.10345792595760903,C1
0.1393336834322495,C1
0.1041558572453718,C1
0.10476927007106232,C1
0.18080550477851154,C1
0.1599710620333239,C1
0.13593547074364273,C1
0.0818310426240415,C1
0.1056005551081795,C1
0.11505069830151211,C1
0.08173601550259828,C1
0.11772188954233193,C1
0.1320275288349235,C1
0.040121973580932495,C1
0.049795502169769065,C1
0.08735526230623993,C1
0.11535620127532005,C1
0.08029167675374975,C1
0.07359670144868657,C1
0.1021450719195968,C1
0.0638665562600641,C1
0.10364938099891777,C1
0.08802631016330809,C1
0.13019263101940445,C1
0.118691848005541,C1
0.16869778252810544,C1
0.059646715326103175,C1
0.10123755620928113,C1
0.08175782921523106,C1
0.09619299575024083,C1
0.1400917275491827,C1
0.06732422217762611,C1
0.13638265037284034,C1
0.12386306562567609,C1
0.13355352039158475,C1
0.10475246972304252,C1
0.12770108506404013,C1
0.1225470305081855,C1
0.11383156637754609,C1
0.12513147799499139,C1
0.11144031214150463,C1
0.08451887461721833,C1
0.1350047832786284,C1
0.09647904653214123,C1
0.12052249469002045,C1
0.03632206158257182,C1
0.03716263808659885,C1
0.10605788429843443,C1
0.11683496943998797,C1
0.11806616717612926,C1
0.10526852770384079,C1
0.10353388964715135,C1
0.09060346136279299,C1
0.03133732188953536,C1
0.10933574498113974,C1
0.13826463835293984,C1
0.06560271662153695,C1
0.10448143533944955,C1
0.14739954120468682,C1
0.17907426875661078,C1
0.09086985799305107,C1
0.10251263223773759,C1
0.044004018267722135,C1
0.09271177497258978,C1
0.1521081932948656,C1
0.13948256830765873,C1
0.12789130937391044,C1
0.1290587411846793,C1
0.1362178570462156,C1
0.08547285320773604,C1
0.13328639321263194,C1
0.04411079807083106,C1
0.13715930698453158,C1
0.04804262093558413,C1
0.112178254518173,C1
0.12509021252831304,C1
0.09052032595870067,C1
0.0680936860298127,C1
