b0,sigma,lp__,Model,bd15,bd30
0.7077585692783651,0.10767200904333069,125.19345920755795,C1,NA,NA
0.70355768026749,0.09406752649328759,124.32162912659597,C1,NA,NA
0.7124561347270149,0.10725334177152226,126.08653631282736,C1,NA,NA
0.7140215634029098,0.0983829501580339,126.22525486533026,C1,NA,NA
0.7336072727273979,0.11508808943556287,123.4142607284244,C1,NA,NA
0.7319264435818562,0.1053051868182516,125.53409044593933,C1,NA,NA
0.7152692900846753,0.09594901078172,125.92023496255368,C1,NA,NA
0.716330550222694,0.09927936509739402,124.95085241743516,C1,NA,NA
0.7071253543011926,0.09828417767767653,125.73348863493483,C1,NA,NA
0.7246195579982367,0.10078608609568743,124.66658445604794,C1,NA,NA
0.7171235568181535,0.09423072970925761,125.23539304846318,C1,NA,NA
0.7214463810217191,0.09732302786910953,126.16814301187718,C1,NA,NA
0.7427379290578584,0.1023794176222574,123.57286772284668,C1,NA,NA
0.7316343709424599,0.09577079206243821,124.79248676556408,C1,NA,NA
0.718214732925907,0.11190191487005755,125.39845070940478,C1,NA,NA
0.7014490377589776,0.10580495973602747,123.940374296361,C1,NA,NA
0.7216128684254418,0.10538492296845745,125.83452592532888,C1,NA,NA
0.7179831712448843,0.09216012500488631,124.72051605556808,C1,NA,NA
0.7124999599797202,0.1047917630018193,126.27674708800302,C1,NA,NA
0.7296046187259763,0.10313291054488678,125.1496489279481,C1,NA,NA
0.7348679988202726,0.10598918429050613,124.3389762551576,C1,NA,NA
0.7283899248440553,0.10384806682039101,125.51145541803025,C1,NA,NA
0.7187201317790705,0.09342760165374135,123.24890211398575,C1,NA,NA
0.7172533454703374,0.10988408179644006,125.30289130096071,C1,NA,NA
0.7224387175731528,0.10901080707848454,125.77510474934621,C1,NA,NA
0.7083468841028923,0.10271764466156595,126.0099278617387,C1,NA,NA
0.711556154223896,0.10154839583709671,126.04940564703134,C1,NA,NA
0.7207336781066617,0.10027614132192383,125.4899988801953,C1,NA,NA
0.7228514835481696,0.10651059769362661,125.87185295399094,C1,NA,NA
0.7357367882406168,0.101348706166518,124.8691044538093,C1,NA,NA
0.7028809332841266,0.0998182279558322,124.17096863648413,C1,NA,NA
0.7216190522328806,0.10432447715585813,126.38933063953799,C1,NA,NA
0.7058685835585282,0.10701178748520343,125.50425050717877,C1,NA,NA
0.7261939480948777,0.10537182268118545,125.25528950994517,C1,NA,NA
0.7115393122699254,0.10071516303591721,126.28911340126054,C1,NA,NA
0.6998555164222123,0.09829307502180923,124.36074008435433,C1,NA,NA
0.7435049062144407,0.10747492547268452,121.72081373051051,C1,NA,NA
0.7179445903045358,0.10241566964038606,126.3722977915862,C1,NA,NA
0.7174725388456805,0.0954380823596678,125.71770880307805,C1,NA,NA
0.7169640430120389,0.10754767208114573,125.97837365137279,C1,NA,NA
0.7143587734706002,0.10412036817438294,126.45641803709307,C1,NA,NA
0.7112858232019267,0.09567175904316357,123.83234786487385,C1,NA,NA
0.7132520583223966,0.10374200649575496,126.40756934424127,C1,NA,NA
0.7218641808944432,0.10481629369773834,126.33776233401952,C1,NA,NA
0.7329136797003462,0.10101267780692946,123.9479618687958,C1,NA,NA
0.7226065397531254,0.09828136251725886,126.19724832643752,C1,NA,NA
0.7184898040821052,0.10600976095635496,126.32175226080425,C1,NA,NA
0.7138020398670836,0.09759328401083954,126.10379011184065,C1,NA,NA
0.7175543903259158,0.10233510312927548,125.70344514034396,C1,NA,NA
0.7266778267838206,0.10656366050487057,125.97135334125161,C1,NA,NA
0.7178399975902485,0.09612903461552236,126.02694528023618,C1,NA,NA
0.7265033355930105,0.10980758761326619,124.41981633713573,C1,NA,NA
0.7096349184988664,0.09422531296741299,124.3624659418824,C1,NA,NA
0.7175136391145402,0.10314231976504461,126.55634396456507,C1,NA,NA
0.729874886249846,0.10335107006652465,125.23509551682585,C1,NA,NA
0.6981858487361531,0.1047120370699712,123.56087376717343,C1,NA,NA
0.7091087242986945,0.09773320620964204,125.85784342175218,C1,NA,NA
0.7114951592436245,0.09734642480264956,125.91385200631703,C1,NA,NA
0.7117255174705872,0.10655164088154652,125.2148040930026,C1,NA,NA
0.7096311395516696,0.1027930309342273,126.1632984625142,C1,NA,NA
0.7130458188979277,0.11611603260692668,124.19664372959984,C1,NA,NA
0.7005229956488184,0.09608369321751563,124.16233831133113,C1,NA,NA
0.733264883102526,0.10594375164456457,122.81854233213375,C1,NA,NA
0.7012912486629144,0.10848025770907507,124.7213776429767,C1,NA,NA
0.7249452618518644,0.09984774484714852,126.23591438203032,C1,NA,NA
0.717135682122288,0.10196844650730175,124.28094264538356,C1,NA,NA
0.7210969736518852,0.09708056893379156,125.7797359183584,C1,NA,NA
0.7190428664504906,0.10192586935427136,126.55955305142004,C1,NA,NA
0.7163641116183083,0.11459463849272802,124.70117269778798,C1,NA,NA
0.7011489560496913,0.11024855401497656,122.480434377395,C1,NA,NA
0.7284186652815055,0.09958844629472538,125.58028099098857,C1,NA,NA
0.7051127801172062,0.1014846868798853,125.7525160381299,C1,NA,NA
0.7052169484032179,0.11336968770684282,123.41334452023392,C1,NA,NA
0.7146477655478213,0.1048636430865335,126.2784579455615,C1,NA,NA
0.7219049349519999,0.09855935528836454,125.93786020428834,C1,NA,NA
0.7208934701535719,0.10328571926204147,126.46447665805773,C1,NA,NA
0.7143360360180163,0.10059245673271239,126.45986408790561,C1,NA,NA
0.7221347311337499,0.1047254540260418,124.96162646396309,C1,NA,NA
0.7168172074409552,0.110666243390639,125.60602835006081,C1,NA,NA
0.7095025451425306,0.10049883547181518,126.17782641454774,C1,NA,NA
