bg,Model
0.1505780249385532,C1
0.18674754055323817,C1
0.17612972297936136,C1
0.16224332423783785,C1
0.17490478759338238,C1
0.1566437411744301,C1
0.1941487061329389,C1
0.2071261035885238,C1
0.17658730425525065,C1
0.24812454024705966,C1
0.14560857990828513,C1
0.18096314112688647,C1
0.1848030739460649,C1
0.16428494845049801,C1
0.14565658758786493,C1
0.10946001994524616,C1
0.13396473912431817,C1
0.2588643244129849,C1
0.11837751240353236,C1
0.1429483330303991,C1
0.15300940166870391,C1
0.17119933671291276,C1
0.08931216254000812,C1
0.18300672129015486,C1
0.2700818581794757,C1
0.19088017173487623,C1
0.16591085164861816,C1
0.17678863119179972,C1
0.1949675601682253,C1
0.16609756894334074,C1
0.2264164316974509,C1
0.23237852848935336,C1
0.22601439672175302,C1
0.16075947119280254,C1
0.16471784396341752,C1
0.17417758838665454,C1
0.19561576966759364,C1
0.19743847233883574,C1
0.23258431748532274,C1
0.2141790888080132,C1
0.16249041036392026,C1
0.224481064610629,C1
0.1336302996090955,C1
0.13269293829179446,C1
0.15735809526667754,C1
0.12245261498041594,C1
0.18330764584967685,C1
0.2206373266885992,C1
0.11549785627697115,C1
0.17866081930701674,C1
0.24953685143407217,C1
0.27398362789085123,C1
0.2609467345918628,C1
0.22792430248012174,C1
0.21339051186453079,C1
0.3176223246998587,C1
0.16043996211762454,C1
0.12932100117922085,C1
0.12629652561375865,C1
0.16560212128355267,C1
0.09797093919258157,C1
0.13141887970500354,C1
0.15832059666300086,C1
0.13924044664550572,C1
0.23094021419411895,C1
0.15381404548428657,C1
0.24121187805918062,C1
0.17677101916565574,C1
0.19855877922710358,C1
0.18300704369752321,C1
0.2314015642985618,C1
0.18999735341566198,C1
0.1848863888628127,C1
0.272084996568028,C1
0.21973388599775104,C1
0.3467712048703388,C1
0.13020678781157957,C1
0.13910691172903045,C1
0.23094021419411895,C1
0.1845930504655284,C1
0.2006852346827355,C1
0.14008659101649515,C1
0.1219861661322056,C1
0.2406107638284044,C1
0.2475720462234952,C1
0.19567317216602215,C1
0.21670899148627026,C1
0.1379260508619341,C1
0.2408349135490779,C1
0.2746116204649069,C1
0.19462199977399383,C1
0.31379541411864975,C1
0.19275561897615817,C1
0.16888861167234884,C1
0.20347217807527082,C1
0.11342212187726085,C1
0.14625846062488074,C1
0.17938877226727368,C1
0.25130589326943237,C1
0.20269746570132452,C1
