Model,Var,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
C1,b0,0.7336579386219182,1.4116632090415207e-4,0.0054458078882892395,0.7234860209006045,0.7298307532860615,0.733640116470154,0.7372848026074877,0.7443809062192954,1488.203908865169,0.9986689728485727
C1,sigma,0.08228439709923467,8.422064583502313e-5,0.003131951019630643,0.0767245273333027,0.08006069639743255,0.08212262111947707,0.08444753105414944,0.08865002810151153,1382.906405422289,0.9999332431574661
C1,lp__,354.9422938486139,0.03492678856480269,1.1664695655376522,351.8974985305022,354.41332418090695,355.2538897783487,355.78997988629465,356.2943949713178,1115.3971073517114,0.9992651226614571
C2,b0,0.12692886646774124,5.797736486791323e-4,0.024144705394631018,0.08022205485631505,0.11001421910132983,0.12662699746505446,0.142797419626441,0.175213016504942,1734.3105927130416,1.000066558532017
C2,sigma,0.20422154499727416,4.2329389966656243e-4,0.017842549420247187,0.17197267123381219,0.1916229878971896,0.2036271931249651,0.21533352892586372,0.24297092809277163,1776.7642095835113,1.0000854551996747
C2,lp__,10.619286640693128,0.0407312527153038,1.2260986126927749,7.478508358268582,10.083826156642623,10.927873143628357,11.519541862211058,12.025656287874597,906.1399279615927,1.00004092359554
PZ,b0,-1.635989289102635,0.005055271544381532,0.1995980989419958,-2.0348954613140506,-1.7713679241811913,-1.6330577404235396,-1.4951301751829769,-1.2564099794983319,1558.9199815650516,0.998893642409523
PZ,bd15,0.2722588178837836,0.015889109889521816,0.556247927678948,-0.7691599017243584,-0.11665050359188184,0.2581928811368067,0.6582751612694238,1.3591334704652294,1225.5687390235428,1.0049885450604383
PZ,bd30,-1.0043224976902452,0.016707191745110695,0.5691484204842053,-2.1240168345587556,-1.3820279205352273,-0.9876220254914668,-0.6096858813867613,0.08889986742640889,1160.4973576583677,1.006168151623436
PZ,lp__,-159.93205823680412,0.046517937062077436,1.319070089247004,-163.16179433302312,-160.65435445233237,-159.63643933905746,-158.96283230081343,-158.23143950013318,804.0718380406645,1.0037189618619087
PC1,b0,2.168597431965551,0.007704194435003217,0.26712776036501024,1.6706902479912964,1.9829354321570576,2.1606655323555817,2.344004711503372,2.7223072644691912,1202.2189697249441,1.002624095569278
PC1,bd15,-0.6398324774838545,0.014994521399099207,0.4930809869031577,-1.5560042791093074,-0.9839931104159001,-0.6361136222442305,-0.3057243791756944,0.3122210828884986,1081.3624790745873,1.0032163258683822
PC1,bd30,-0.25072208883387165,0.016916654980122618,0.5299086691529115,-1.32081517299471,-0.6023790703031885,-0.25069827694536573,0.09052031207271641,0.791661543588643,981.2350779941011,1.0031066968387805
PC1,lp__,-184.9204749501377,0.04654964283875934,1.3784756235688023,-188.32414199171092,-185.6074576853785,-184.62930361763128,-183.89522227952168,-183.1972450240308,876.931105170469,1.0021662672882818
