Model,Var,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
C1,b0,0.7165842377363913,1.7942528133599368e-4,0.006188361784628886,0.7042230690740953,0.7124294019017117,0.7165902134334927,0.7208607013857623,0.728751044837271,1189.5538839752587,1.0012959684772005
C1,sigma,0.09020145620840486,1.0103570058695459e-4,0.0031496420034286174,0.08419075412861665,0.08802882195001978,0.09014373106038197,0.092268212474708,0.09666135260008311,971.7905524530563,1.0021379848619651
C1,lp__,380.90057601909587,0.037466128502526806,1.191004215202335,377.7639122477535,380.3644671317425,381.23115531164035,381.7782402473072,382.25397383232723,1010.5294166149881,0.9985920636631346
C2,b0,0.02396802154936989,6.771910015502487e-4,0.024925047336974232,-0.02588541274996007,0.007913518676782976,0.024647649562125847,0.04078943274062246,0.0706667303447109,1354.7202617741148,1.0004644186727076
C2,sigma,0.1883636158234329,4.692674944428252e-4,0.01803412975154258,0.15734395280428662,0.17514564005853372,0.18681215314170754,0.20021998937764457,0.2281213807206654,1476.8943720295294,0.999648662093928
C2,lp__,13.351564540362498,0.03892806396250357,1.261351061223679,10.059492986183628,12.779270715528927,13.686581463810064,14.275687816600556,14.786597500651686,1049.8961508392613,1.0003450515757
PZ,b0,-1.6289555054164897,0.004808034669478092,0.17387044389441594,-1.9731860519857602,-1.743403460846945,-1.6234231688129523,-1.51307503339197,-1.297290455513289,1307.7247539703496,1.0026570508287327
PZ,bd15,-0.3079201298541368,0.009341324039168207,0.38449634712956393,-1.0468381356492917,-0.5530048633978998,-0.31517728753815777,-0.0607961026922075,0.4630135481612289,1694.2112505846642,1.0024024511299583
PZ,bd30,-0.46773274393775977,0.008674692565740726,0.3114099078380026,-1.078028068620016,-0.665965068988102,-0.46249668642752506,-0.26342496407233745,0.14438173129486956,1288.7143593605952,1.0026162557055354
PZ,lp__,-190.44111138971607,0.04447788425225065,1.3783886419207976,-193.81262643955594,-191.13595147221127,-190.11757252228568,-189.42223228735807,-188.7046675038793,960.406589174678,1.0021325560524406
PC1,b0,2.681382106115153,0.007905698662189332,0.2850322476737896,2.1456424350729804,2.4842969442674803,2.6712160706991406,2.865406913495595,3.273008200750866,1299.8926317293924,0.9998394693737122
PC1,bd15,-1.005842124644493,0.00835694779293927,0.32191098112771444,-1.6125712400344063,-1.2257823045819902,-1.0053936783691686,-0.7916621577674985,-0.37795249394204866,1483.8028650017595,1.000349468631815
PC1,bd30,-0.5524662165562505,0.010975628263088818,0.37905955218562093,-1.3207422256931953,-0.7987147501228666,-0.5508463481920145,-0.29801173351699023,0.17702848792006198,1192.7683638800013,0.9997977957137039
PC1,lp__,-164.75934048741402,0.04508061421420522,1.3503665824946443,-168.08559241978247,-165.4043125010623,-164.48030363176161,-163.74469321752875,-163.05949727066428,897.2711719134996,0.9987025530789496
