Var,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
r0,4.248784242857939,0.05845538495090162,1.35922464554772,2.0391914955188355,3.2487739121123957,4.092818314192444,5.037739009772727,7.259535981741222,540.6714426364671,1.0104308526241927
ba1,-0.0033189768892164925,2.7222951215605023e-4,0.006139276358838564,-0.015574756712027998,-0.007201933563197455,-0.0035597559387776567,8.249670829785996e-4,0.008598137979647112,508.5854803303838,1.0144027058032998
lp__,-80.1652186559616,0.0512986241449724,1.0517012298755994,-83.0878778206988,-80.54129807697205,-79.83641363244506,-79.44331785609195,-79.18137563759504,420.3134900859026,1.0115821591762837
