Model,Var,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
C1,bg[1],0.009745587165537138,2.0827512489927916e-4,0.006648332103586802,-0.003348173882079858,0.005295693528863954,0.009631055367475189,0.01398933122757126,0.02308950886930981,1018.9446749868717,1.0036945888662825
C2,bg[1],0.05939356061158237,0.0010653855526513744,0.04303615008061814,-0.02377369229721704,0.030767945364186745,0.059670950527277375,0.08772757613267947,0.14200668867761146,1631.7484935000173,0.9996550368846668
PZ,bg[1],8.173113925168371e-4,0.0026169098863562668,0.09800862042890839,-0.1998836183976805,-0.0656247708698905,0.001253826578066372,0.06751140608507429,0.19698352819725093,1402.655491612896,1.0026168835705527
PC1,bg[1],-0.0015279426932277838,0.0028388550389245085,0.10060811668997047,-0.19638282743076424,-0.07058249075619286,-0.00226950858221224,0.06919801422760304,0.18550944149478854,1255.9709820223975,1.0014642239593514
