Model,Var,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
C1,bg[1],0.007182225234577427,4.959260663180771e-4,0.01633244570519847,-0.025221788951666865,-0.0037273972242465223,0.007649227552098075,0.018380323745560652,0.03695830852211143,1084.59743903021,0.9988123713027307
C2,bg[1],-0.043813764139131864,0.0018918653211081827,0.06812364166444386,-0.17795248202315495,-0.0911691542462637,-0.043959361180389456,0.002437859221864478,0.088062154445618,1296.6276510528191,1.001527587690601
PZ,bg[1],-0.0015713707898030876,0.0020361235754435235,0.09660319345006756,-0.18521177360040417,-0.07021808846506174,1.527606862256059e-7,0.0673381511685047,0.18226306848187077,2250.995888118193,1.0002362509031313
PC1,bg[1],4.54382721140301e-5,0.0026308504935290454,0.09935424961362892,-0.20106854285799775,-0.0656703746862347,-5.941682247826985e-4,0.06899303197490146,0.18833676381657627,1426.2004135159589,1.0028951002789472
