SID,Var,m,l,u
Drolet et al. 2010,b0,0.012143573515089602,0.011842279428172032,0.012444867602007173
Drolet et al. 2010,b_lr0,-0.014825641074606233,-0.014999150426547533,-0.014652131722664934
Drolet et al. 2010,rsd,0.0011818141040078048,NA,NA
Rampakakis et al. 2017 Argentina,b0,0.02226931900616709,0.021955547274271795,0.022583090738062386
Rampakakis et al. 2017 Argentina,b_lr0,-0.01340435343119936,-0.013618021620976712,-0.013190685241422008
Rampakakis et al. 2017 Argentina,rsd,0.0021139197058547107,NA,NA
Rampakakis et al. 2017 Costa Rica,b0,-0.8032763074897356,-0.830450701173684,-0.7761019138057871
Rampakakis et al. 2017 Costa Rica,b_lr0,-0.03588691393922384,-0.05414038342283053,-0.017633444455617146
Rampakakis et al. 2017 Costa Rica,rsd,0.5602590819907686,NA,NA
Rampakakis et al. 2017 Korea,b0,0.001757232852012187,0.0016398742562380012,0.0018745914477863728
Rampakakis et al. 2017 Korea,b_lr0,-0.015889893541277636,-0.016046288356892695,-0.015733498725662577
Rampakakis et al. 2017 Korea,rsd,0.0025359119786033148,NA,NA
Rampakakis et al. 2017 Mexico,b0,0.01460811078487819,0.01447715870990999,0.014739062859846391
Rampakakis et al. 2017 Mexico,b_lr0,-0.014705537447896957,-0.01488707773319734,-0.014523997162596574
Rampakakis et al. 2017 Mexico,rsd,0.002829988491221533,NA,NA
Rampakakis et al. 2017 Taiwan,b0,0.02260242665963066,0.022421793017963522,0.0227830603012978
Rampakakis et al. 2017 Taiwan,b_lr0,-0.015235368578221215,-0.01538877019885707,-0.01508196695758536
Rampakakis et al. 2017 Taiwan,rsd,0.0015621672059323737,NA,NA
Rampakakis et al. 2017 Thailand,b0,0.020161651428733732,0.01962796021399803,0.020695342643469433
Rampakakis et al. 2017 Thailand,b_lr0,-0.015588499133298822,-0.015837947290549038,-0.015339050976048606
Rampakakis et al. 2017 Thailand,rsd,0.0014603085732586903,NA,NA
Scott et al. 2006,b0,0.019664337422158163,0.019096561414209585,0.02023211343010674
Scott et al. 2006,b_lr0,-0.01647581617308998,-0.016872111428205536,-0.016079520917974426
Scott et al. 2006,rsd,0.0029512912012444907,NA,NA
van Wijck et al. 2016,b0,0.012718558225931889,0.012684661513881992,0.012752454937981786
van Wijck et al. 2016,b_lr0,-0.015032383226034066,-0.01513134719323542,-0.014933419258832712
van Wijck et al. 2016,rsd,7.560643239132741e-4,NA,NA
Combined,b0,0.014399505383860109,0.014182114931726303,0.014616895835993914
Combined,b_lr0,-0.015461693780503214,-0.015591010722983528,-0.015332376838022901
Combined,rsd,5.076130399135174e-4,NA,NA
