Var,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
r0,8.701688728287605,0.09367176114607188,1.7657326853121464,5.61504814246787,7.431065573879335,8.546379725820952,9.859677928004464,12.571619514280993,355.33054448292023,1.007246900548837
ba1,-0.014840459283696041,1.6869909608830102e-4,0.0031741779448571893,-0.020929459666446465,-0.01703225420299386,-0.014925617761119454,-0.012712727489055302,-0.00875050004231955,354.0275244240083,1.0060612123199548
lp__,-1349.5270803853823,0.04487164879978853,0.9821135034708446,-1352.164248095745,-1349.9032935659125,-1349.2048019696672,-1348.8366665787412,-1348.5970218041166,479.0483062217174,1.0107962068497542
