Var,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
r0,1.1186707037401031,0.01822530844549924,0.36925640526357073,0.5282615406291302,0.860823827953808,1.08787698787354,1.3309351204010396,1.9082086705095385,410.4935153346288,0.9999090641005074
ba1,0.01187238503056696,2.677655864575816e-4,0.005142839876148631,0.0029348649994863844,0.008357854803939671,0.011448538049985425,0.015026501575175861,0.02242874145772417,368.8896623126975,1.001865748766311
lp__,-1013.3386059513552,0.04956379378511504,0.9539830935990695,-1015.7176924369348,-1013.7284227856608,-1013.0456172159447,-1012.6390509929148,-1012.4018127422302,370.4693417720265,1.0152095746846044
