SID,b0,b_lr0,rsd
DroCAN,0.01433580930013217,-0.01543127046053612,4.850803893246416e-4
RamARG,0.01433580930013217,-0.01543127046053612,4.850803893246416e-4
RamCRI,0.01433580930013217,-0.01543127046053612,4.850803893246416e-4
RamKOR,0.01433580930013217,-0.01543127046053612,4.850803893246416e-4
RamMEX,0.01433580930013217,-0.01543127046053612,4.850803893246416e-4
RamTHA,0.01433580930013217,-0.01543127046053612,4.850803893246416e-4
RamTWN,0.01433580930013217,-0.01543127046053612,4.850803893246416e-4
ScottUK,0.01433580930013217,-0.01543127046053612,4.850803893246416e-4
VanNL,0.01433580930013217,-0.01543127046053612,4.850803893246416e-4
DEU,0.01335785,-0.014356394,5.11e-4
ESP,0.01335785,-0.014356394,5.11e-4
ITA,0.01335785,-0.014356394,5.11e-4
JPN,0.01335785,-0.014356394,5.11e-4
