SID,Var,mean,sd
DroCAN,r0,5.515261737361738,0.9705730067341457
DroCAN,ba1,-0.011774399503495727,0.0027676908902039316
RamARG,r0,5.515261737361738,0.9705730067341457
RamARG,ba1,-0.011774399503495727,0.0027676908902039316
RamCRI,r0,5.515261737361738,0.9705730067341457
RamCRI,ba1,-0.011774399503495727,0.0027676908902039316
RamKOR,r0,5.515261737361738,0.9705730067341457
RamKOR,ba1,-0.011774399503495727,0.0027676908902039316
RamMEX,r0,5.515261737361738,0.9705730067341457
RamMEX,ba1,-0.011774399503495727,0.0027676908902039316
RamTHA,r0,5.515261737361738,0.9705730067341457
RamTHA,ba1,-0.011774399503495727,0.0027676908902039316
RamTWN,r0,5.515261737361738,0.9705730067341457
RamTWN,ba1,-0.011774399503495727,0.0027676908902039316
ScottUK,r0,5.515261737361738,0.9705730067341457
ScottUK,ba1,-0.011774399503495727,0.0027676908902039316
VanNL,r0,5.515261737361738,0.9705730067341457
VanNL,ba1,-0.011774399503495727,0.0027676908902039316
DEU,r0,4.9178435831337115,1.083022646103141
DEU,ba1,-0.00916618154545079,0.00319436311819737
ESP,r0,4.9178435831337115,1.083022646103141
ESP,ba1,-0.00916618154545079,0.00319436311819737
ITA,r0,4.9178435831337115,1.083022646103141
ITA,ba1,-0.00916618154545079,0.00319436311819737
JPN,r0,4.9178435831337115,1.083022646103141
JPN,ba1,-0.00916618154545079,0.00319436311819737
