SID,b0,b_lr0,rsd
DroCAN,0.0122426245847325,-0.01486029330444193,0.00117077627593622
RamARG,0.02229263097259555,-0.01342285372972566,0.0021801131523837302
RamKOR,0.00178058963012458,-0.01581348719563182,0.00246765778715972
RamMEX,0.01479554920982209,-0.01478564043652512,0.00284390252732316
RamTHA,0.02021223735664064,-0.01560510314300209,0.00151018759501102
RamTWN,0.02271145025339066,-0.0154027358797138,0.00150518832547103
ScottUK,0.01993451699571525,-0.01673210223718971,0.00290457912391576
VanNL,0.01272877669681352,-0.0150589092898373,7.180511462936695e-4
RamCRI,0.01433580930013217,-0.01543127046053612,4.850803893246416e-4
DEU,0.001973325,-0.014698281,0.00130405
ESP,0.018564741,-0.014063995,9.69e-4
ITA,0.020561267,-0.013675145,8.43e-4
JPN,0.010392412,-0.014625354,0.0010064
