Model,Var,mean,sd,SID
C1,C1_bg,0.11555481171613012,0.0297299285701605,RamKOR
C1,C1_sigma,0.1078894875157919,0.00367763645316463,RamKOR
C2,C2_b0,-0.0149826927377066,0.033015659878611,RamKOR
C2,C2_bg,-0.04125298041272396,0.0873708730410683,RamKOR
C2,C2_sigma,0.2182800717035418,0.02330223879596181,RamKOR
PC1,PC1_b0,2.4760678700319145,0.20541209906862537,RamKOR
PC1,PC1_bd15,-1.0296832158655074,0.5006060004045381,RamKOR
PC1,PC1_bd30,-0.00218897230511929,0.4827887259841208,RamKOR
PC1,PC1_bg,0.0019632277996137,0.09987042140636936,RamKOR
PZ,PZ_b0,-1.723540512113097,0.14839935617808886,RamKOR
PZ,PZ_bd15,-0.48326776718361303,0.4416351840131125,RamKOR
PZ,PZ_bd30,-0.01330678900851807,0.3675922997497163,RamKOR
PZ,PZ_bg,-7.238451312995782e-4,0.10227362851038072,RamKOR
C1,C1_b0,0.6870450143122822,0.01076304473402456,RamMEX
C1,C1_bg,0.20279299005538787,0.05111100355820359,RamMEX
C1,C1_sigma,0.09609915632083194,0.00526362115725284,RamMEX
C2,C2_b0,-0.06460718723866209,0.02828951881374336,RamMEX
C2,C2_bg,0.01092331180191788,0.09835513012323836,RamMEX
C2,C2_sigma,0.1711056017529136,0.02051874202636116,RamMEX
PC1,PC1_b0,2.656826698156987,0.39420631879115703,RamMEX
PC1,PC1_bd15,-1.5816408513745617,0.4019208490294908,RamMEX
PC1,PC1_bd30,-0.9856774481367494,0.478910437961907,RamMEX
PC1,PC1_bg,0.00183002583664816,0.1019598836230045,RamMEX
PZ,PZ_b0,-1.158527808074639,0.2203429219817495,RamMEX
PZ,PZ_bd15,-0.3620803953755085,0.5352418771430654,RamMEX
PZ,PZ_bd30,-1.0647282781210556,0.4151516071535662,RamMEX
PZ,PZ_bg,0.00164254559000302,0.10106976679093645,RamMEX
C1,C1_b0,0.7335116033854482,0.00561540998283648,RamTHA
C1,C1_bg,0.10798902680941994,0.03008505646690252,RamTHA
C1,C1_sigma,0.08202061218650145,0.00319528092717893,RamTHA
C2,C2_b0,0.12623843396949874,0.02448906455823667,RamTHA
C2,C2_bg,0.03161626616184869,0.09973089159247338,RamTHA
C2,C2_sigma,0.20431792484798103,0.01728579005185961,RamTHA
PC1,PC1_b0,2.1712550060140607,0.2746972992479592,RamTHA
PC1,PC1_bd15,-0.6593913423695786,0.5147107623256563,RamTHA
PC1,PC1_bd30,-0.23377828927576896,0.5508636248734571,RamTHA
PC1,PC1_bg,0.00111082415885831,0.098135873391625425,RamTHA
PZ,PZ_b0,-1.6394952503289597,0.20903660610365657,RamTHA
PZ,PZ_bd15,0.31325498091291304,0.5825341032929017,RamTHA
PZ,PZ_bd30,-1.0382820232234926,0.572335429252666,RamTHA
PZ,PZ_bg,-0.00149511619527696,0.10099574392146948,RamTHA
C1,C1_b0,0.7161392198567,0.00605235450582269,RamTWN
C1,C1_bg,0.02210221256601875,0.03231421941959955,RamTWN
C1,C1_sigma,0.09020069847869244,0.00331622957907554,RamTWN
C2,C2_b0,0.02422993727027678,0.02643036514208448,RamTWN
C2,C2_bg,-0.06965624571726847,0.09558533594700926,RamTWN
C2,C2_sigma,0.18745769534274084,0.01817721398547296,RamTWN
PC1,PC1_b0,2.68026112142756,0.28277509653354055,RamTWN
PC1,PC1_bd15,-1.0247901149228391,0.3353245395265951,RamTWN
PC1,PC1_bd30,-0.5332470113931429,0.3727826589138144,RamTWN
PC1,PC1_bg,-0.00133352113349272,0.1035664098617469,RamTWN
PZ,PZ_b0,-1.6317481614774103,0.1806395003088648,RamTWN
PZ,PZ_bd15,-0.18942125497308848,0.35539871073730334,RamTWN
PZ,PZ_bd30,-0.47189788045411973,0.30770785801418665,RamTWN
PZ,PZ_bg,0.00288472626924567,0.09597018755437764,RamTWN
C1,C1_b0,0.6628058588957156,0.01287355893541378,ScottUK
C1,C1_bg,0.18589240919197617,0.04978056077300601,ScottUK
C1,C1_sigma,0.0911433804885335,0.00785686798055502,ScottUK
C2,C2_b0,-0.0056565591004131,0.03460965280915386,ScottUK
C2,C2_bg,0.01730891843488987,0.10029139097182985,ScottUK
C2,C2_sigma,0.1706442955887062,0.02619819745395893,ScottUK
PC1,PC1_b0,2.3702550082720557,0.4880804118493048,ScottUK
PC1,PC1_bd15,-1.0167385240574909,0.7588155173063741,ScottUK
PC1,PC1_bd30,-1.0332670998624505,0.763540065417233,ScottUK
PC1,PC1_bg,0.0021291430062776,0.10160855813496936,ScottUK
PZ,PZ_b0,-1.7385501500636644,0.3732504678339837,ScottUK
PZ,PZ_bd15,-0.841184019996051,0.8059932278417671,ScottUK
PZ,PZ_bd30,-0.9080853004866168,0.7940948496872062,ScottUK
PZ,PZ_bg,0.00459544876232746,0.10144164256587916,ScottUK
C1,C1_b0,0.7880746554379752,0.00245239352930136,VanNL
C1,C1_bg,0.00912006974273104,0.00690273867765175,VanNL
C1,C1_sigma,0.07043143228057151,0.00137070854291057,VanNL
C2,C2_b0,0.2611237831935666,0.00877037679367556,VanNL
C2,C2_bg,0.06509722118939225,0.03595847533228642,VanNL
C2,C2_sigma,0.11861115972514868,0.00561847190502698,VanNL
PC1,PC1_b0,2.509157453218308,0.1467574790453118,VanNL
PC1,PC1_bd15,-0.9448408371408554,0.1823273602844415,VanNL
PC1,PC1_bd30,-0.6043204485193677,0.2106398117548969,VanNL
PC1,PC1_bg,6.775782861215086e-4,0.10181430098478396,VanNL
PZ,PZ_b0,-1.2800882290586038,0.15808899820713346,VanNL
PZ,PZ_bd15,-0.8220625918760847,0.4144977092754952,VanNL
PZ,PZ_bd30,-0.8030769182637779,0.3117444335127979,VanNL
PZ,PZ_bg,-0.00416329289485057,0.09805557495633872,VanNL
C1,C1_bg,-0.01564876364725806,0.01097510557000839,DEU
C1,C1_b0,0.8658838153963033,0.00248777395634726,DEU
C1,C1_sigma,0.06358588538159608,0.0012262139247333,DEU
C2,C2_bg,-0.03655899780985486,0.04485208880621719,DEU
C2,C2_b0,0.30209765247593456,0.0100867685957291,DEU
C2,C2_sigma,0.1028181491427465,0.00522056166600526,DEU
PC1,PC1_bg,15521734905385192e8,6841832988621528e9,DEU
PC1,PC1_b0,1.659094605993071,0.15688671699858298,DEU
PC1,PC1_bd15,-0.4362670295767858,0.4391330359347256,DEU
PC1,PC1_bd30,0.7295707484315244,0.36546950287222857,DEU
PZ,PZ_bg,4659718583210841e9,15880835291496737e9,DEU
PZ,PZ_b0,-1.892949260502638,0.166129195392123,DEU
PZ,PZ_bd15,0.07138839056020779,0.28646013787815144,DEU
PZ,PZ_bd30,1.2129023529011045,0.25771928698937835,DEU
C1,C1_bg,0.03092818455875825,0.03447177096729807,ESP
C1,C1_b0,0.8035511816312739,0.00528397422360124,ESP
C1,C1_sigma,0.10485407974560984,0.00271601160481271,ESP
C2,C2_bg,0.05127926271453479,0.07103557582911782,ESP
C2,C2_b0,0.28749675844928746,0.01484402649815254,ESP
C2,C2_sigma,0.26451422307443623,0.00972929287071723,ESP
PC1,PC1_bg,-19014931471685347e8,14706485695576727e9,ESP
PC1,PC1_b0,0.9003056218543736,0.14622914058459047,ESP
PC1,PC1_bd15,-0.017792062134344,0.24758750899575113,ESP
PC1,PC1_bd30,-0.3841616559724744,0.23577033762508864,ESP
PZ,PZ_bg,27691321825289635e7,5102595114714323e8,ESP
PZ,PZ_b0,-4.32107974298595,0.5161684539325893,ESP
PZ,PZ_bd15,-0.2182040905849609,0.6835639877458136,ESP
PZ,PZ_bd30,0.2652452303979773,0.6200187240543219,ESP
C1,C1_bg,0.01630289774936603,0.00905032687813322,ITA
C1,C1_b0,0.7385413252645845,0.00190680202442908,ITA
C1,C1_sigma,0.04250739223446877,0.00100042142821208,ITA
C2,C2_bg,-0.12169175848173336,0.05793917599510732,ITA
C2,C2_b0,0.5061108100165875,0.0117638067889225,ITA
C2,C2_sigma,0.15499103087992722,0.00721157088766215,ITA
PC1,PC1_bg,-10715257094597693e7,8394940196824851e8,ITA
PC1,PC1_b0,1.3689119984597211,0.15500792248684075,ITA
PC1,PC1_bd15,0.2903033311888797,0.2814939486085446,ITA
PC1,PC1_bd30,-0.24998417826336897,0.26963975367188375,ITA
PZ,PZ_bg,-930784679948456e9,1254992129224237e9,ITA
PZ,PZ_b0,-2.4854402209376723,0.24366180910951543,ITA
PZ,PZ_bd15,-0.4512913231760301,0.3972521084436816,ITA
PZ,PZ_bd30,0.2414447637559085,0.36172028315850047,ITA
C1,C1_bg,-0.00655251182682292,0.01576313390412191,JPN
C1,C1_b0,0.8331921882352644,0.00366329670745044,JPN
C1,C1_sigma,0.08234589626923663,0.00169557018524921,JPN
C2,C2_bg,-0.02546788107610367,0.06239368524520672,JPN
C2,C2_b0,0.22480403294263665,0.01457836308320684,JPN
C2,C2_sigma,0.22147581104651065,0.00871223123577603,JPN
PC1,PC1_bg,14836161567170634e8,4375974661828384e9,JPN
PC1,PC1_b0,1.5698010996706104,0.14649322976723797,JPN
PC1,PC1_bd15,-0.41187542934574456,0.3283583935149362,JPN
PC1,PC1_bd30,-0.0850281599711439,0.2770510744977815,JPN
PZ,PZ_bg,-2239538463386481e8,5279800845551979e8,JPN
PZ,PZ_b0,-2.5523445669165783,0.22083383677106128,JPN
PZ,PZ_bd15,0.4607345587947486,0.4876822700789556,JPN
PZ,PZ_bd30,-0.39724082780919673,0.4291525622840354,JPN
